2671GA,31,,Dijkweg,Naaldwijk
2693BC,12,BU5,Nobelstraat,'s-Gravenzande
2693BC,12,BU6,Nobelstraat,'s-Gravenzande
2693BC,14,BU1,Nobelstraat,'s-Gravenzande
2693BC,14,BU2,Nobelstraat,'s-Gravenzande
2693BC,14,BU3,Nobelstraat,'s-Gravenzande
2693BC,14,BU4,Nobelstraat,'s-Gravenzande
2693BC,14,BU5,Nobelstraat,'s-Gravenzande
2693BC,14,BU6,Nobelstraat,'s-Gravenzande
2693BC,16,BU1,Nobelstraat,'s-Gravenzande
2693BC,16,BU2,Nobelstraat,'s-Gravenzande
2693BC,16,BU3,Nobelstraat,'s-Gravenzande
2693BC,16,BU4,Nobelstraat,'s-Gravenzande
2693BC,16,BU5,Nobelstraat,'s-Gravenzande
2693BC,16,BU6,Nobelstraat,'s-Gravenzande
2693BD,1,BU1,Buijs Ballotstraat,'s-Gravenzande
2693BD,1,BU2,Buijs Ballotstraat,'s-Gravenzande
2693BD,3,BU1,Buijs Ballotstraat,'s-Gravenzande
2693BD,3,BU3,Buijs Ballotstraat,'s-Gravenzande
2693BD,3,BU4,Buijs Ballotstraat,'s-Gravenzande
2693BD,5,BU1,Buijs Ballotstraat,'s-Gravenzande
2693BD,5,BU2,Buijs Ballotstraat,'s-Gravenzande
2693BD,5,BU3,Buijs Ballotstraat,'s-Gravenzande
2693BD,5,BU4,Buijs Ballotstraat,'s-Gravenzande
2693BD,5,BU5,Buijs Ballotstraat,'s-Gravenzande
2693BD,5,BU6,Buijs Ballotstraat,'s-Gravenzande
2693BD,9,BU1,Buijs Ballotstraat,'s-Gravenzande
2693BD,9,BU2,Buijs Ballotstraat,'s-Gravenzande
2693BD,9,BU3,Buijs Ballotstraat,'s-Gravenzande
2693BD,9,BU4,Buijs Ballotstraat,'s-Gravenzande
2693BD,9,BU5,Buijs Ballotstraat,'s-Gravenzande
2693BD,9,BU6,Buijs Ballotstraat,'s-Gravenzande
2693BD,11,BU1,Buijs Ballotstraat,'s-Gravenzande
2693BD,11,BU2,Buijs Ballotstraat,'s-Gravenzande
2693BD,11,BU3,Buijs Ballotstraat,'s-Gravenzande
2693BD,11,BU4,Buijs Ballotstraat,'s-Gravenzande
2693BD,11,BU5,Buijs Ballotstraat,'s-Gravenzande
2693BD,11,BU6,Buijs Ballotstraat,'s-Gravenzande
2681BA,46,,Dr van den Brinkstraat,Monster
2681BJ,5,,Kerkpad,Monster
2681BM,43,,Molenstraat,Monster
2681BS,10,,Molenstraat,Monster
2681CD,33,,Hortensiastraat,Monster
2681CK,25,,Zeestraat,Monster
2681CK,27,,Zeestraat,Monster
2681CL,31,,Zeestraat,Monster
2681CM,24,,Zeestraat,Monster
2681CM,28,,Zeestraat,Monster
2681CN,34,,Zeestraat,Monster
2681DJ,4,,Groote Noort,Monster
2681DJ,6,,Groote Noort,Monster
2681PD,82,,Haagweg,Monster
2681PN,25,,Groenendaal,Monster
2681SE,91,,Rijnweg,Monster
2681SP,78,,Rijnweg,Monster
2693BD,19,,Buijs Ballotstraat,'s-Gravenzande
2693BD,21,,Buijs Ballotstraat,'s-Gravenzande
2678AP,1,,Jan Steenstraat,De Lier
2678AT,1,,Rembrandtstraat,De Lier
2678AW,9,,Dompad,De Lier
2678CT,67,,Lierweg,De Lier
2678CT,73,,Lierweg,De Lier
2678CV,109,,Lierweg,De Lier
2678CV,107,,Lierweg,De Lier
2678CW,20,,Lierweg,De Lier
2678CW,26,,Lierweg,De Lier
2678CZ,4,,Laan van Adrichem,De Lier
2678ED,5,,Koningin Julianalaan,De Lier
2678EX,21,1,Karel Doormanlaan,De Lier
2678KB,9,1,Burgemeester van Doornlaan,De Lier
2678KB,17,,Burgemeester van Doornlaan,De Lier
2678KE,81,,Leeweg,De Lier
2678KH,56,,Leeweg,De Lier
2678KJ,3,1,Hoefweg,De Lier
2678KJ,4,1,Hoefweg,De Lier
2678KL,2,,Laan van Binnendijk,De Lier
2678KK,34,1,Hoefweg,De Lier
2678KN,8,1,Oudecampsweg,De Lier
2678KP,20,1,Oudecampsweg,De Lier
2678KR,3,1,Hoogweg,De Lier
2678KS,15,1,Hoogweg,De Lier
2678KV,2,1,Hoogweg,De Lier
2678KV,6,1,Hoogweg,De Lier
2678KV,10,1,Hoogweg,De Lier
2678KZ,44,1,Burgemeester Crezéelaan,De Lier
2678LA,10,1,Laan van Zeestraten,De Lier
2678LA,16,,Laan van Zeestraten,De Lier
2678LP,47,,Burgerdijkseweg,De Lier
2678LD,13,,Laan van Vijverberg,De Lier
2678LD,15,,Laan van Vijverberg,De Lier
2678LD,19,,Laan van Vijverberg,De Lier
2678LG,5,,Laan van Poot,De Lier
2678LH,1,,Jan van de Laarweg,De Lier
2678LH,2,,Jan van de Laarweg,De Lier
2678LH,4,,Jan van de Laarweg,De Lier
2678LH,6,,Jan van de Laarweg,De Lier
2678LH,8,,Jan van de Laarweg,De Lier
2678LH,10,,Jan van de Laarweg,De Lier
2678LH,11,,Jan van de Laarweg,De Lier
2678LH,14,,Jan van de Laarweg,De Lier
2678LH,22,,Jan van de Laarweg,De Lier
2678LH,24,,Jan van de Laarweg,De Lier
2678LH,26,,Jan van de Laarweg,De Lier
2678LH,28,,Jan van de Laarweg,De Lier
2678LH,32,,Jan van de Laarweg,De Lier
2678LH,34,,Jan van de Laarweg,De Lier
2678LJ,26,,Zijtwende,De Lier
2678LM,4,,Tuindersweg,De Lier
2678LN,21,,Veilingweg,De Lier
2678LP,5,1,Burgerdijkseweg,De Lier
2678LR,15,,Kralingerweg,De Lier
2678LS,34,,Oostbuurtseweg,De Lier
2678LS,68,,Oostbuurtseweg,De Lier
2678LV,4,1,Noord-Lierweg,De Lier
2678LV,28,1,Noord-Lierweg,De Lier
2678LX,8,1,Kanaalweg,De Lier
2678LX,10,1,Kanaalweg,De Lier
2678LX,20,2,Kanaalweg,De Lier
2678MA,25,,Leehove,De Lier
2678MA,31,,Leehove,De Lier
2678MC,4,,Leehove,De Lier
2678MC,6,,Leehove,De Lier
2678NA,17,,Noord-Lierweg,De Lier
2678NA,39,,Noord-Lierweg,De Lier
2678NG,11,,Woudtzicht,De Lier
2678PA,2,,Chrysant,De Lier
2678PT,19,,Poortcamp,De Lier
2678PT,21,,Poortcamp,De Lier
2678PT,23,,Poortcamp,De Lier
2678PT,25,,Poortcamp,De Lier
2678TC,8,,Achterlaantje,De Lier
2681LB,25,,Havenstraat,Monster
2678NM,18,,Dorppolderweg,De Lier
2681LM,12,1,Zwartendijk,Monster
2681RG,9,,Boomaweg,Monster
2681RG,15,,Boomaweg,Monster
2681RG,16,,Boomaweg,Monster
2681PL,47,1,Madeweg,Monster
2681PN,68,,Madeweg,Monster
2681RL,51,,Emmastraat,Monster
2681PH,9,,Orberlaan,Monster
2681PH,20,,Orberlaan,Monster
2681PH,37,,Orberlaan,Monster
2681PG,9,,Plaats Langeveld,Monster
2681LT,3,,Poeldijkseweg,Monster
2681LW,18,,Poeldijkseweg,Monster
2681LJ,5,,Rusthovenlaan,Monster
2681LJ,8,,Rusthovenlaan,Monster
2681SZ,338,,Rijnweg,Monster
2681LH,13,,Raaphorstlaan,Monster
2681LH,14,,Raaphorstlaan,Monster
2681RK,4,,Westerduinlaan,Monster
2681RV,24,,Stationsweg,Monster
2681LE,15,,Gantellaan,Monster
2681LE,20,,Gantellaan,Monster
2681LG,43,,Gantellaan,Monster
2681AV,62,1,Choorstraat,Monster
2681PM,19,,Claes de Wyckerlaan,Monster
2681VM,5,,Heijdsepad,Monster
2671EZ,44,BEDR,Molenstraat,Naaldwijk
2685AA,11,,Casembrootlaan,Poeldijk
2685AC,32,,Casembrootlaan,Poeldijk
2685LA,27,,Cubalaan,Poeldijk
2685LP,7,,Middenweg,Poeldijk
2685AW,7,,Middenweg,Poeldijk
2685AE,8,,Scherpenhoeklaan,Poeldijk
2685LN,32,,Slachthuiskade,Poeldijk
2685AV,6,,Teylingerlaan,Poeldijk
2685SR,16,1,Wateringseweg,Poeldijk
2685SW,74,,Wateringseweg,Poeldijk
2685SW,101,1,Wateringseweg,Poeldijk
2685SW,102,,Wateringseweg,Poeldijk
2678CM,80,,Hoofdstraat,De Lier
2678CL,80,,Hoofdstraat,De Lier
2678CM,106,,Hoofdstraat,De Lier
2678CM,108,,Hoofdstraat,De Lier
2678CV,101,,Lierweg,De Lier
2681EZ,52,,Molenbrink,Monster
2681GH,123,,Goudenregenstraat,Monster
2681JB,1,,Vijverweg,Monster
2681JB,2,,Vijverweg,Monster
2681JB,3,,Vijverweg,Monster
2678AC,107,,Kijckerweg,De Lier
2678AW,15,,Dompad,De Lier
2678AW,17,,Dompad,De Lier
2678LH,12,,Jan van de Laarweg,De Lier
2678LH,16,,Jan van de Laarweg,De Lier
2678LX,8,CB,Kanaalweg,De Lier
2291BH,56,,Herenstraat,Wateringen
2291CE,79,a,Kerklaan,Wateringen
2678CL,66,,Hoofdstraat,De Lier
2675BX,29,,Grote Waard,Honselersdijk
2675BX,31,,Grote Waard,Honselersdijk
2675KJ,89,,Middel Broekweg,Honselersdijk
2675KL,154,1,Middel Broekweg,Honselersdijk
2675SB,6,,Van Ockenburchlaan,Honselersdijk
2675LB,34,,Zwethlaan,Honselersdijk
2676BA,3,,Cornelis Houtmanplein,Maasdijk
2295RN,28,1,Lange Wateringkade,Kwintsheul
2681AV,52,,Choorstraat,Monster
2681PB,75,,Haagweg,Monster
2681LC,45,,Havenstraat,Monster
2681BC,19,,Herenstraat,Monster
2681BG,16,,Herenstraat,Monster
2681CC,13,WNKL,Hortensiastraat,Monster
2681CE,12,WNKL,Hortensiastraat,Monster
2681PW,1,,Jan Steenstraat,Monster
2681LB,6,,Kloosterlaan,Monster
2681LD,31,,Kloosterlaan,Monster
2681PN,36,,Madeweg,Monster
2681PN,64,,Madeweg,Monster
2681LA,4,,Onder de Toren,Monster
2681LL,10,,Papelaan,Monster
2681LH,7,,Raaphorstlaan,Monster
2681KJ,2,,Schubert,Monster
2681RW,41,,Vlotlaan,Monster
2681TX,604,,Vlotlaan,Monster
2671NX,46,48,De Tuinen,Naaldwijk
2671NX,46,,De Tuinen,Naaldwijk
2671LN,13,,Dortlaan,Naaldwijk
2671JA,10,,Herenstraat,Naaldwijk
2671LJ,7,,Hoge Geest,Naaldwijk
2671CT,9,,Industriestraat,Naaldwijk
2671CA,19,,Kleine Woerdlaan,Naaldwijk
2671ES,6,,Martinus Dorpiusstraat,Naaldwijk
2671JD,4,6,Patijnenburg,Naaldwijk
2671EJ,12,,Prinses Julianastraat,Naaldwijk
2671JL,103,,'s-Gravenzandseweg,Naaldwijk
2671JN,26,,'s-Gravenzandseweg,Naaldwijk
2671CV,7,,Slachthuisstraat,Naaldwijk
2671GX,35,,Stokdijkkade,Naaldwijk
2671GX,36,,Stokdijkkade,Naaldwijk
2671GX,37,,Stokdijkkade,Naaldwijk
2671GX,38,,Stokdijkkade,Naaldwijk
2671MG,11,,Zuideinde,Naaldwijk
2685AP,2,,Nieuweweg,Poeldijk
2685AP,3,,Nieuweweg,Poeldijk
2685AP,5,,Nieuweweg,Poeldijk
2685AP,6,,Nieuweweg,Poeldijk
2685AP,10,10A,Nieuweweg,Poeldijk
2685AP,11,,Nieuweweg,Poeldijk
2685AP,12,A,Nieuweweg,Poeldijk
2685AP,12,B,Nieuweweg,Poeldijk
2685AP,12,C,Nieuweweg,Poeldijk
2685AP,15,,Nieuweweg,Poeldijk
2685LN,29,,Slachthuiskade,Poeldijk
2685LN,30,,Slachthuiskade,Poeldijk
2685LZ,1,,Uranus,Poeldijk
2685LZ,3,,Uranus,Poeldijk
2685LZ,12,,Uranus,Poeldijk
2685LZ,18,,Uranus,Poeldijk
2685EJ,59,1,Voorstraat,Poeldijk
2685EN,70,,Voorstraat,Poeldijk
2685EP,92,,Voorstraat,Poeldijk
2685AA,1,,Casembrootlaan,Poeldijk
2693BD,17,BU1,Buijs Ballotstraat,'s-Gravenzande
2693BD,17,BU2,Buijs Ballotstraat,'s-Gravenzande
2691GV,1,,Einsteinstraat,'s-Gravenzande
2691GV,3,,Einsteinstraat,'s-Gravenzande
2691HB,1,1,Franklinstraat,'s-Gravenzande
2691HB,17,,Franklinstraat,'s-Gravenzande
2691HA,11,,Fultonstraat,'s-Gravenzande
2691AL,16,,Gravenstraat,'s-Gravenzande
2691MP,30,,Groeneweg,'s-Gravenzande
2691AT,24,,Hoflaan,'s-Gravenzande
2691AT,42,,Hoflaan,'s-Gravenzande
2691AV,100,,Hoflaan,'s-Gravenzande
2691GH,162,,Koningin Julianaweg,'s-Gravenzande
2691TC,174,,Kornalijn,'s-Gravenzande
2691TB,120,,Kornalijn,'s-Gravenzande
2691BC,81,,Langestraat,'s-Gravenzande
2691BE,151,,Langestraat,'s-Gravenzande
2691BJ,76,,Langestraat,'s-Gravenzande
2691BJ,82,,Langestraat,'s-Gravenzande
2691BK,134,,Langestraat,'s-Gravenzande
2691NV,86,,Maasdijk,'s-Gravenzande
2691NW,98,,Maasdijk,'s-Gravenzande
2691JS,18,,Meloenlaan,'s-Gravenzande
2691JM,4,,Radijslaan,'s-Gravenzande
2691JM,2,,Radijslaan,'s-Gravenzande
2691NG,1,,Peppellaan,'s-Gravenzande
2691KE,2,,Strandweg,'s-Gravenzande
2691AJ,6,,Vaartplein,'s-Gravenzande
2691AK,10,,Vaartstraat,'s-Gravenzande
2691AK,8,,Vaartstraat,'s-Gravenzande
2691ZE,1,,Montessoristraat,'s-Gravenzande
2692AC,31,,van Geeststraat,'s-Gravenzande
2692AH,39,,Zandeveltplein,'s-Gravenzande
2684VT,18,HOTL,Strandweg,Ter Heijde
2291PD,15,,De Lierseweg,Wateringen
2291CW,1,,Gantelplein,Wateringen
2291BB,37,,Herenstraat,Wateringen
2291BG,2,1,Herenstraat,Wateringen
2291CW,15,,Gantelplein,Wateringen
2291BK,114,,Herenstraat,Wateringen
2291BK,132,,Herenstraat,Wateringen
2291BL,166,,Herenstraat,Wateringen
2291BX,2,,Heulweg,Wateringen
2291CE,65,,Kerklaan,Wateringen
2291GG,8,,Markuslaan,Wateringen
2291CA,15,,Plein,Wateringen
2291CA,17,,Plein,Wateringen
2291CA,19,,Plein,Wateringen
2291CA,21,,Plein,Wateringen
2291CA,23,,Plein,Wateringen
2291CA,27,,Plein,Wateringen
2291CA,29,,Plein,Wateringen
2291CA,31,,Plein,Wateringen
2291PE,74,,'s-Gravenzandseweg,Wateringen
2291NA,2,,Veenland,Wateringen
2291HE,1,,Wateringveldseweg,Wateringen
2681BA,2,1,Dr van den Brinkstraat,Monster
2678GB,30,,Michiel Adriaensz. de Ruijterstraat,De Lier
2678KA,1,1,Burgemeester van Doornlaan,De Lier
2678LG,9,,Laan van Poot,De Lier
2678LX,4,1,Kanaalweg,De Lier
2678NC,12,,Hofzichtlaan,De Lier
2678NN,1,,Oudecampsweg,De Lier
2678NR,2,,Sint Aechtenland,De Lier
2671DX,20,1,Hoge Noordweg,Naaldwijk
2671DZ,20,1,Hoge Noordweg,Naaldwijk
2675BG,77,,Nieuweweg,Honselersdijk
2671DK,5,,De Bruidsbogerd,Naaldwijk
2671DL,6,,De Bruidsbogerd,Naaldwijk
2671DL,8,,De Bruidsbogerd,Naaldwijk
2671EX,10,12,Molenstraat,Naaldwijk
2686DC,242,,ABC Westland,Poeldijk
2685DC,242,,ABC Westland,Poeldijk
2685DD,301,,ABC Westland,Poeldijk
2685DD,303,,ABC Westland,Poeldijk
2685DD,305,,ABC Westland,Poeldijk
2685DD,307,,ABC Westland,Poeldijk
2685DD,313,,ABC Westland,Poeldijk
2685DD,323,,ABC Westland,Poeldijk
2685DD,325,,ABC Westland,Poeldijk
2685DD,329,,ABC Westland,Poeldijk
2685DE,423,,ABC Westland,Poeldijk
2685DG,545,,ABC Westland,Poeldijk
2685DH,622,,ABC Westland,Poeldijk
2685DH,628,,ABC Westland,Poeldijk
2685DH,629,,ABC Westland,Poeldijk
2685DH,639,,ABC Westland,Poeldijk
2685DH,666,,ABC Westland,Poeldijk
2685DH,668,,ABC Westland,Poeldijk
2685DH,661,,ABC Westland,Poeldijk
2685DB,108,,ABC Westland,Poeldijk
2685DD,319,,ABC Westland,Poeldijk
2685DG,574,,ABC Westland,Poeldijk
2685DH,647,,ABC Westland,Poeldijk
2685DH,641,,ABC Westland,Poeldijk
2685DC,227,,ABC Westland,Poeldijk
2685DC,229,,ABC Westland,Poeldijk
2685DC,231,,ABC Westland,Poeldijk
2685DG,514,,ABC Westland,Poeldijk
2685DG,555,,ABC Westland,Poeldijk
2685DG,501,,ABC Westland,Poeldijk
2678AG,1,,Jogchem van der Houtweg,De Lier
2678LZ,34,,Kade van Ras,De Lier
2678HA,33,,Jogchem van der Houtweg,De Lier
2678LZ,42,,Kade van Ras,De Lier
2678HA,41,,Jogchem van der Houtweg,De Lier
2678LZ,9,,Kade van Ras,De Lier
2678LZ,5,,Kade van Ras,De Lier
2678HA,77,,Jogchem van der Houtweg,De Lier
2678LZ,38,,Kade van Ras,De Lier
2678HA,13,,Jogchem van der Houtweg,De Lier
2678AG,12,,Jogchem van der Houtweg,De Lier
2678AG,3,,Jogchem van der Houtweg,De Lier
2678AG,4,,Jogchem van der Houtweg,De Lier
2678AG,5,,Jogchem van der Houtweg,De Lier
2678LZ,12,,Kade van Ras,De Lier
2678HA,84,,Jogchem van der Houtweg,De Lier
2678LZ,62,,Kade van Ras,De Lier
2678HA,36,,Jogchem van der Houtweg,De Lier
2681JB,18,,Vijverweg,Monster
2681JB,20,,Vijverweg,Monster
2681JB,11,,Vijverweg,Monster
2681JB,13,,Vijverweg,Monster
2681JB,15,,Vijverweg,Monster
2681JB,17,,Vijverweg,Monster
2681JB,19,,Vijverweg,Monster
2681JB,22,,Vijverweg,Monster
2681JB,24,,Vijverweg,Monster
2681JB,26,,Vijverweg,Monster
2681JB,28,,Vijverweg,Monster
2681JB,30,,Vijverweg,Monster
2681JB,32,,Vijverweg,Monster
2681JB,34,,Vijverweg,Monster
2681JB,36,,Vijverweg,Monster
2681JB,38,,Vijverweg,Monster
2681JB,40,,Vijverweg,Monster
2681JB,42,,Vijverweg,Monster
2681JB,44,,Vijverweg,Monster
2681JC,15,,Tuinlaan,Monster
2681JC,17,,Tuinlaan,Monster
2681JC,19,,Tuinlaan,Monster
2681JC,21,,Tuinlaan,Monster
2681JC,1,,Tuinlaan,Monster
2681JC,2,,Tuinlaan,Monster
2681JC,3,,Tuinlaan,Monster
2681JC,4,,Tuinlaan,Monster
2681JC,5,,Tuinlaan,Monster
2681JC,6,,Tuinlaan,Monster
2681JC,7,,Tuinlaan,Monster
2681JC,8,,Tuinlaan,Monster
2681JC,9,,Tuinlaan,Monster
2681JC,10,,Tuinlaan,Monster
2681JC,11,,Tuinlaan,Monster
2681JC,12,,Tuinlaan,Monster
2681JC,13,,Tuinlaan,Monster
2681JD,2,,Sportlaan,Monster
2681JE,1,,Parklaan,Monster
2681JE,2,,Parklaan,Monster
2681JE,4,,Parklaan,Monster
2681JE,6,,Parklaan,Monster
2681JE,8,,Parklaan,Monster
2681JB,5,,Vijverweg,Monster
2681JB,7,,Vijverweg,Monster
2681JB,9,,Vijverweg,Monster
2681JH,1,,Binnenhof,Monster
2681JG,1,,Buitenhof,Monster
2681JH,2,,Binnenhof,Monster
2681JH,4,,Binnenhof,Monster
2681JH,5,,Binnenhof,Monster
2681JH,7,,Binnenhof,Monster
2681JJ,1,,Schelpendaal,Monster
2681JJ,3,,Schelpendaal,Monster
2681JJ,5,,Schelpendaal,Monster
2681JJ,7,,Schelpendaal,Monster
2681JJ,9,,Schelpendaal,Monster
2681JK,1,,Bosweg,Monster
2681JK,3,,Bosweg,Monster
2681JK,5,,Bosweg,Monster
2681JK,7,,Bosweg,Monster
2681JK,9,,Bosweg,Monster
2681JK,11,,Bosweg,Monster
2681JK,13,,Bosweg,Monster
2681JK,15,,Bosweg,Monster
2681JK,2,,Bosweg,Monster
2681JK,4,,Bosweg,Monster
