8325AE,21,,Wheeme,Vollenhove
8325BJ,57,,Kerkstraat,Vollenhove
8325BK,16,,Kerkstraat,Vollenhove
8325BK,18,,Kerkstraat,Vollenhove
8325BK,20,,Kerkstraat,Vollenhove
8325BK,22,,Kerkstraat,Vollenhove
8325BK,24,,Kerkstraat,Vollenhove
8325BK,26,,Kerkstraat,Vollenhove
8325BK,30,,Kerkstraat,Vollenhove
8325BK,32,,Kerkstraat,Vollenhove
8325BK,34,,Kerkstraat,Vollenhove
8325BL,58,,Kerkstraat,Vollenhove
8325BL,60,,Kerkstraat,Vollenhove
8325BL,62,,Kerkstraat,Vollenhove
8325BL,64,,Kerkstraat,Vollenhove
8325BL,66,,Kerkstraat,Vollenhove
8325BL,70,,Kerkstraat,Vollenhove
8325BM,72,,Kerkstraat,Vollenhove
8325BM,76,,Kerkstraat,Vollenhove
8325AX,37,,Groenestraat,Vollenhove
8325AX,39,,Groenestraat,Vollenhove
8325AZ,24,,Groenestraat,Vollenhove
8325AZ,30,,Groenestraat,Vollenhove
8325AZ,32,,Groenestraat,Vollenhove
8325AZ,36,,Groenestraat,Vollenhove
8325AZ,38,,Groenestraat,Vollenhove
8325BA,1,,Bisschopstraat,Vollenhove
8325BA,3,,Bisschopstraat,Vollenhove
8325BA,5,,Bisschopstraat,Vollenhove
8325BB,41,,Bisschopstraat,Vollenhove
8325ES,8,,Van Haersoltelaan,Vollenhove
8325ES,10,,Van Haersoltelaan,Vollenhove
8325ES,12,,Van Haersoltelaan,Vollenhove
8325ES,14,,Van Haersoltelaan,Vollenhove
8325ES,16,,Van Haersoltelaan,Vollenhove
8325ES,18,,Van Haersoltelaan,Vollenhove
8325ES,20,,Van Haersoltelaan,Vollenhove
8325ET,17,,Van Haersoltelaan,Vollenhove
8325ET,19,,Van Haersoltelaan,Vollenhove
8325ET,21,,Van Haersoltelaan,Vollenhove
8325ET,23,,Van Haersoltelaan,Vollenhove
8325ET,25,,Van Haersoltelaan,Vollenhove
8325ET,27,,Van Haersoltelaan,Vollenhove
8325ET,29,,Van Haersoltelaan,Vollenhove
8325ET,31,,Van Haersoltelaan,Vollenhove
8325ET,33,,Van Haersoltelaan,Vollenhove
8325ET,35,,Van Haersoltelaan,Vollenhove
8325ET,37,,Van Haersoltelaan,Vollenhove
8325EV,17,,Godfried van Rhenenlaan,Vollenhove
8325EV,19,,Godfried van Rhenenlaan,Vollenhove
8325EV,21,,Godfried van Rhenenlaan,Vollenhove
8325EV,23,,Godfried van Rhenenlaan,Vollenhove
8325EV,25,,Godfried van Rhenenlaan,Vollenhove
8325EV,27,,Godfried van Rhenenlaan,Vollenhove
8325EV,29,,Godfried van Rhenenlaan,Vollenhove
8325EV,31,,Godfried van Rhenenlaan,Vollenhove
8325EV,33,,Godfried van Rhenenlaan,Vollenhove
8325EV,35,,Godfried van Rhenenlaan,Vollenhove
8325EV,37,,Godfried van Rhenenlaan,Vollenhove
8325EW,61,,Godfried van Rhenenlaan,Vollenhove
8325EW,63,,Godfried van Rhenenlaan,Vollenhove
8325EW,65,,Godfried van Rhenenlaan,Vollenhove
8325EW,67,,Godfried van Rhenenlaan,Vollenhove
8325EW,69,,Godfried van Rhenenlaan,Vollenhove
8325EW,71,,Godfried van Rhenenlaan,Vollenhove
8325EW,73,,Godfried van Rhenenlaan,Vollenhove
8325EW,75,,Godfried van Rhenenlaan,Vollenhove
8325EW,52,,Godfried van Rhenenlaan,Vollenhove
8325EW,54,,Godfried van Rhenenlaan,Vollenhove
8325EW,56,,Godfried van Rhenenlaan,Vollenhove
8325XC,5,,De Voorst,Vollenhove
8325XC,7,,De Voorst,Vollenhove
8325XC,9,,De Voorst,Vollenhove
8325XC,11,,De Voorst,Vollenhove
8325XC,13,,De Voorst,Vollenhove
8325XD,35,,De Voorst,Vollenhove
8325XD,37,,De Voorst,Vollenhove
8325XD,39,,De Voorst,Vollenhove
8325XD,41,,De Voorst,Vollenhove
8325XD,43,,De Voorst,Vollenhove
8325XD,45,,De Voorst,Vollenhove
8325XD,51,,De Voorst,Vollenhove
8325XD,53,,De Voorst,Vollenhove
8325XD,55,,De Voorst,Vollenhove
8325XD,57,,De Voorst,Vollenhove
8325XD,59,,De Voorst,Vollenhove
8325XH,1,,Voorslag,Vollenhove
8325XH,3,,Voorslag,Vollenhove
8325XH,5,,Voorslag,Vollenhove
8325XH,7,,Voorslag,Vollenhove
8325XH,2,,Voorslag,Vollenhove
8325XH,4,,Voorslag,Vollenhove
8325XH,6,,Voorslag,Vollenhove
8325XH,8,,Voorslag,Vollenhove
8325XH,10,,Voorslag,Vollenhove
8325XH,12,,Voorslag,Vollenhove
8325XH,14,,Voorslag,Vollenhove
8325XJ,3,,De Wal,Vollenhove
8325XJ,5,,De Wal,Vollenhove
8325XJ,7,,De Wal,Vollenhove
8325XJ,9,,De Wal,Vollenhove
8325XJ,11,,De Wal,Vollenhove
8325XJ,13,,De Wal,Vollenhove
8325XJ,15,,De Wal,Vollenhove
8325XJ,17,,De Wal,Vollenhove
8325XJ,19,,De Wal,Vollenhove
8325XJ,21,,De Wal,Vollenhove
8325XJ,23,,De Wal,Vollenhove
8325XK,2,2,De Wal,Vollenhove
8325XK,2,4,De Wal,Vollenhove
8325XL,1,,Zeekampen,Vollenhove
8334NE,31,,Bakkersveld,Tuk
8334NE,33,,Bakkersveld,Tuk
8334NE,35,,Bakkersveld,Tuk
8334NE,37,,Bakkersveld,Tuk
8334NE,39,,Bakkersveld,Tuk
8334NE,41,,Bakkersveld,Tuk
8334NE,43,,Bakkersveld,Tuk
8334NG,69,,Bakkersveld,Tuk
8334NH,1,,De Spitzen,Tuk
8334NH,3,,De Spitzen,Tuk
8334NH,5,,De Spitzen,Tuk
8334NJ,2,,De Spitzen,Tuk
8334NJ,4,,De Spitzen,Tuk
8334NJ,6,,De Spitzen,Tuk
8334NJ,8,,De Spitzen,Tuk
8334NJ,10,,De Spitzen,Tuk
8334NJ,12,,De Spitzen,Tuk
8334NJ,14,,De Spitzen,Tuk
8334NJ,16,,De Spitzen,Tuk
8334NJ,18,,De Spitzen,Tuk
8334NK,1,,Achterveld,Tuk
8334NK,3,,Achterveld,Tuk
8334NK,5,,Achterveld,Tuk
8334NK,7,,Achterveld,Tuk
8334NK,9,,Achterveld,Tuk
8334NK,11,,Achterveld,Tuk
8334NK,13,,Achterveld,Tuk
8334NL,2,,Achterveld,Tuk
8334NL,4,,Achterveld,Tuk
8334NM,50,,Bakkersveld,Tuk
8334NM,52,,Bakkersveld,Tuk
8334NM,54,,Bakkersveld,Tuk
8334NN,1,,De Olde Hof,Tuk
8334NN,3,,De Olde Hof,Tuk
8334NN,5,,De Olde Hof,Tuk
8334NN,7,,De Olde Hof,Tuk
8334NN,9,,De Olde Hof,Tuk
8334NP,2,,De Olde Hof,Tuk
8334NP,4,,De Olde Hof,Tuk
8334NP,6,,De Olde Hof,Tuk
8334RA,12,,Berg en Bos,Tuk
8325BB,47,,Bisschopstraat,Vollenhove
8325BB,49,,Bisschopstraat,Vollenhove
8325BB,51,,Bisschopstraat,Vollenhove
8325BB,53,,Bisschopstraat,Vollenhove
8325BB,59,,Bisschopstraat,Vollenhove
8325BB,61,,Bisschopstraat,Vollenhove
8325BB,67,,Bisschopstraat,Vollenhove
8325BB,73,,Bisschopstraat,Vollenhove
8325BC,4,,Bisschopstraat,Vollenhove
8325BC,6,,Bisschopstraat,Vollenhove
8325BC,30,,Bisschopstraat,Vollenhove
8325BC,32,,Bisschopstraat,Vollenhove
8325BC,36,,Bisschopstraat,Vollenhove
8325BC,38,,Bisschopstraat,Vollenhove
8325BC,40,,Bisschopstraat,Vollenhove
8325BC,42,,Bisschopstraat,Vollenhove
8325BC,44,,Bisschopstraat,Vollenhove
8325BC,46,,Bisschopstraat,Vollenhove
8325BC,48,,Bisschopstraat,Vollenhove
8325BD,56,,Bisschopstraat,Vollenhove
8325BD,82,,Bisschopstraat,Vollenhove
8325BD,84,,Bisschopstraat,Vollenhove
8325BE,1,,Kerksteeg,Vollenhove
8325BE,5,,Kerksteeg,Vollenhove
8325BE,7,,Kerksteeg,Vollenhove
8325BG,1,,Heilige Geeststeeg,Vollenhove
8325BG,4,,Heilige Geeststeeg,Vollenhove
8325BG,6,,Heilige Geeststeeg,Vollenhove
8325BG,8,,Heilige Geeststeeg,Vollenhove
8325BG,10,,Heilige Geeststeeg,Vollenhove
8325BG,12,,Heilige Geeststeeg,Vollenhove
8325BH,31,,Kerkstraat,Vollenhove
8325BH,35,,Kerkstraat,Vollenhove
8325BH,37,,Kerkstraat,Vollenhove
8325BH,39,,Kerkstraat,Vollenhove
8325BH,41,,Kerkstraat,Vollenhove
8325BH,43,,Kerkstraat,Vollenhove
8325BJ,59,,Kerkstraat,Vollenhove
8325EX,22,,Godfried van Rhenenlaan,Vollenhove
8325EX,24,,Godfried van Rhenenlaan,Vollenhove
8325EX,26,,Godfried van Rhenenlaan,Vollenhove
8325EX,28,,Godfried van Rhenenlaan,Vollenhove
8325EX,30,,Godfried van Rhenenlaan,Vollenhove
8325EX,32,,Godfried van Rhenenlaan,Vollenhove
8325EX,34,,Godfried van Rhenenlaan,Vollenhove
8325EX,36,,Godfried van Rhenenlaan,Vollenhove
8325EX,38,,Godfried van Rhenenlaan,Vollenhove
8325EX,40,,Godfried van Rhenenlaan,Vollenhove
8325EZ,4,,Productieweg,Vollenhove
8325GA,1,,Frederik van Blankenheimstraat,Vollenhove
8325GA,3,,Frederik van Blankenheimstraat,Vollenhove
8325GA,5,,Frederik van Blankenheimstraat,Vollenhove
8325GA,7,,Frederik van Blankenheimstraat,Vollenhove
8325GA,9,,Frederik van Blankenheimstraat,Vollenhove
8325GA,11,,Frederik van Blankenheimstraat,Vollenhove
8325GA,13,,Frederik van Blankenheimstraat,Vollenhove
8325GA,15,,Frederik van Blankenheimstraat,Vollenhove
8325GA,2,,Frederik van Blankenheimstraat,Vollenhove
8325GA,4,,Frederik van Blankenheimstraat,Vollenhove
8325GB,9,,Rudolf van Diepholtstraat,Vollenhove
8325GB,11,,Rudolf van Diepholtstraat,Vollenhove
8325GB,13,,Rudolf van Diepholtstraat,Vollenhove
8325GB,15,,Rudolf van Diepholtstraat,Vollenhove
8325GB,17,,Rudolf van Diepholtstraat,Vollenhove
8325GB,19,,Rudolf van Diepholtstraat,Vollenhove
8325GB,21,,Rudolf van Diepholtstraat,Vollenhove
8325GB,23,,Rudolf van Diepholtstraat,Vollenhove
8325GB,25,,Rudolf van Diepholtstraat,Vollenhove
8325GB,27,,Rudolf van Diepholtstraat,Vollenhove
8325GC,2,,Rudolf van Diepholtstraat,Vollenhove
8325GC,26,,Rudolf van Diepholtstraat,Vollenhove
8325GC,28,,Rudolf van Diepholtstraat,Vollenhove
8325GC,30,,Rudolf van Diepholtstraat,Vollenhove
8325GC,32,,Rudolf van Diepholtstraat,Vollenhove
8325GC,34,,Rudolf van Diepholtstraat,Vollenhove
8325GC,36,,Rudolf van Diepholtstraat,Vollenhove
8325GC,38,,Rudolf van Diepholtstraat,Vollenhove
8341RS,94,,Vredenburg,Steenwijkerwold
8341RS,96,,Vredenburg,Steenwijkerwold
8341RS,98,,Vredenburg,Steenwijkerwold
8341RS,100,,Vredenburg,Steenwijkerwold
8341RS,102,,Vredenburg,Steenwijkerwold
8341RS,104,,Vredenburg,Steenwijkerwold
8341RS,106,,Vredenburg,Steenwijkerwold
8341RS,108,,Vredenburg,Steenwijkerwold
8341RS,112,,Vredenburg,Steenwijkerwold
8341RS,114,,Vredenburg,Steenwijkerwold
8341RS,116,,Vredenburg,Steenwijkerwold
8341RT,142,,Vredenburg,Steenwijkerwold
8341RT,144,,Vredenburg,Steenwijkerwold
8341RT,146,,Vredenburg,Steenwijkerwold
8341RT,148,,Vredenburg,Steenwijkerwold
8341RT,150,,Vredenburg,Steenwijkerwold
8341RT,152,,Vredenburg,Steenwijkerwold
8341RV,17,,Het Schild,Steenwijkerwold
8341RV,19,,Het Schild,Steenwijkerwold
8341RV,21,,Het Schild,Steenwijkerwold
8341RV,23,,Het Schild,Steenwijkerwold
8341RV,25,,Het Schild,Steenwijkerwold
8341RV,36,,Het Schild,Steenwijkerwold
8341RW,1,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,3,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,5,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,7,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,9,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,11,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,13,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,15,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,17,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,21,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,8,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,10,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,12,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,14,,Pastoor Muitemanstraat,Steenwijkerwold
8334RA,14,,Berg en Bos,Tuk
8334RA,16,,Berg en Bos,Tuk
8334RB,1,,Berg en Bos,Tuk
8334RB,3,,Berg en Bos,Tuk
8334RB,5,,Berg en Bos,Tuk
8334RB,7,,Berg en Bos,Tuk
8334RB,9,,Berg en Bos,Tuk
8334RB,11,,Berg en Bos,Tuk
8334RB,13,,Berg en Bos,Tuk
8334RB,15,,Berg en Bos,Tuk
8334RB,39,,Berg en Bos,Tuk
8334RB,41,,Berg en Bos,Tuk
8334RB,43,,Berg en Bos,Tuk
8334RB,45,,Berg en Bos,Tuk
8334RB,47,,Berg en Bos,Tuk
8334RC,2,,Oosterhoek,Tuk
8334RC,6,,Oosterhoek,Tuk
8334RC,8,,Oosterhoek,Tuk
8334RC,10,,Oosterhoek,Tuk
8334RC,12,,Oosterhoek,Tuk
8334RC,14,,Oosterhoek,Tuk
8334RD,5,,Oosterhoek,Tuk
8334RD,7,,Oosterhoek,Tuk
8334RD,9,,Oosterhoek,Tuk
8334RD,11,,Oosterhoek,Tuk
8334RD,13,,Oosterhoek,Tuk
8334RD,15,,Oosterhoek,Tuk
8334RD,17,,Oosterhoek,Tuk
8334RD,19,,Oosterhoek,Tuk
8334RD,21,,Oosterhoek,Tuk
8334RD,23,,Oosterhoek,Tuk
8334RD,25,,Oosterhoek,Tuk
8334RD,49,,Oosterhoek,Tuk
8334RD,51,,Oosterhoek,Tuk
8334RD,53,,Oosterhoek,Tuk
8334RD,55,,Oosterhoek,Tuk
8334RD,57,,Oosterhoek,Tuk
8334RD,59,,Oosterhoek,Tuk
8334RE,5,,Steendijk,Tuk
8334RE,7,,Steendijk,Tuk
8334RE,9,,Steendijk,Tuk
8325BJ,61,,Kerkstraat,Vollenhove
8325BJ,63,,Kerkstraat,Vollenhove
8325BJ,65,,Kerkstraat,Vollenhove
8325BK,4,,Kerkstraat,Vollenhove
8325BK,6,,Kerkstraat,Vollenhove
8325BK,8,,Kerkstraat,Vollenhove
8325BK,10,,Kerkstraat,Vollenhove
8325BK,12,,Kerkstraat,Vollenhove
8325BK,14,,Kerkstraat,Vollenhove
8325BK,36,,Kerkstraat,Vollenhove
8325BK,38,,Kerkstraat,Vollenhove
8325BK,40,,Kerkstraat,Vollenhove
8325BL,42,,Kerkstraat,Vollenhove
8325BL,44,,Kerkstraat,Vollenhove
8325BL,46,,Kerkstraat,Vollenhove
8325BL,48,,Kerkstraat,Vollenhove
8325BL,50,,Kerkstraat,Vollenhove
8325BL,52,,Kerkstraat,Vollenhove
8325BL,54,,Kerkstraat,Vollenhove
8325BL,56,,Kerkstraat,Vollenhove
8325BM,78,,Kerkstraat,Vollenhove
8325BM,80,,Kerkstraat,Vollenhove
8325BM,82,,Kerkstraat,Vollenhove
8325BM,84,,Kerkstraat,Vollenhove
8325BM,86,,Kerkstraat,Vollenhove
8325BM,88,,Kerkstraat,Vollenhove
8325BN,3,,Kerkplein,Vollenhove
8325BN,5,,Kerkplein,Vollenhove
8325BN,7,,Kerkplein,Vollenhove
8325BN,9,,Kerkplein,Vollenhove
8325BN,11,,Kerkplein,Vollenhove
8325BN,15,,Kerkplein,Vollenhove
8325BN,13,,Kerkplein,Vollenhove
8325BN,10,,Kerkplein,Vollenhove
8325BN,12,,Kerkplein,Vollenhove
8325GC,40,,Rudolf van Diepholtstraat,Vollenhove
8325GC,42,,Rudolf van Diepholtstraat,Vollenhove
8325GC,44,,Rudolf van Diepholtstraat,Vollenhove
8325GD,1,,Floris van Wevelikhovenstraat,Vollenhove
8325ES,2,2,Van Haersoltelaan,Vollenhove
8325ES,2,4,Van Haersoltelaan,Vollenhove
8325ES,2,6,Van Haersoltelaan,Vollenhove
8325ET,1,,Van Haersoltelaan,Vollenhove
8325ET,3,,Van Haersoltelaan,Vollenhove
8325ET,5,,Van Haersoltelaan,Vollenhove
8325ET,7,,Van Haersoltelaan,Vollenhove
8325ET,9,,Van Haersoltelaan,Vollenhove
8325ET,11,,Van Haersoltelaan,Vollenhove
8325ET,13,,Van Haersoltelaan,Vollenhove
8325ET,15,,Van Haersoltelaan,Vollenhove
8325ET,39,,Van Haersoltelaan,Vollenhove
8325ET,41,,Van Haersoltelaan,Vollenhove
8325ET,43,,Van Haersoltelaan,Vollenhove
8325ET,45,,Van Haersoltelaan,Vollenhove
8325ET,47,,Van Haersoltelaan,Vollenhove
8325EV,1,,Godfried van Rhenenlaan,Vollenhove
8325EV,7,,Godfried van Rhenenlaan,Vollenhove
8325EV,9,,Godfried van Rhenenlaan,Vollenhove
8325EV,11,,Godfried van Rhenenlaan,Vollenhove
8325EV,13,,Godfried van Rhenenlaan,Vollenhove
8325EV,15,,Godfried van Rhenenlaan,Vollenhove
8325EV,39,,Godfried van Rhenenlaan,Vollenhove
8325EV,41,,Godfried van Rhenenlaan,Vollenhove
8325EV,43,,Godfried van Rhenenlaan,Vollenhove
8325EV,45,,Godfried van Rhenenlaan,Vollenhove
8325EV,47,,Godfried van Rhenenlaan,Vollenhove
8325EV,49,,Godfried van Rhenenlaan,Vollenhove
8325EW,51,,Godfried van Rhenenlaan,Vollenhove
8325EW,53,,Godfried van Rhenenlaan,Vollenhove
8325EW,55,,Godfried van Rhenenlaan,Vollenhove
8325EW,57,,Godfried van Rhenenlaan,Vollenhove
8325EW,59,,Godfried van Rhenenlaan,Vollenhove
8325EW,58,,Godfried van Rhenenlaan,Vollenhove
8325EW,60,,Godfried van Rhenenlaan,Vollenhove
8325EW,62,,Godfried van Rhenenlaan,Vollenhove
8341RW,16,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,18,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,20,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,32,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,34,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,36,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,38,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,40,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,42,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,44,,Pastoor Muitemanstraat,Steenwijkerwold
8341RW,46,,Pastoor Muitemanstraat,Steenwijkerwold
