6021BW,9,,Jan van Brabantstraat,Budel
6026BE,7,,Lavendelstraat,Maarheeze
6026BE,9,,Lavendelstraat,Maarheeze
6026BE,11,,Lavendelstraat,Maarheeze
6026BE,13,,Lavendelstraat,Maarheeze
6026BE,15,,Lavendelstraat,Maarheeze
6026BE,17,,Lavendelstraat,Maarheeze
6026BE,19,,Lavendelstraat,Maarheeze
6026BE,21,,Lavendelstraat,Maarheeze
6026BE,23,,Lavendelstraat,Maarheeze
6026BE,25,,Lavendelstraat,Maarheeze
6026BE,27,,Lavendelstraat,Maarheeze
6026AT,1,,Leeuwenbekstraat,Maarheeze
6026AT,3,,Leeuwenbekstraat,Maarheeze
6026AT,5,,Leeuwenbekstraat,Maarheeze
6026AT,7,,Leeuwenbekstraat,Maarheeze
6026AT,9,,Leeuwenbekstraat,Maarheeze
6026AT,11,,Leeuwenbekstraat,Maarheeze
6026XM,1,,Leliestraat,Maarheeze
6026XM,2,,Leliestraat,Maarheeze
6026XM,3,,Leliestraat,Maarheeze
6026XM,4,,Leliestraat,Maarheeze
6026XM,5,,Leliestraat,Maarheeze
6026XM,6,,Leliestraat,Maarheeze
6026XM,7,,Leliestraat,Maarheeze
6026XM,8,,Leliestraat,Maarheeze
6026XM,9,,Leliestraat,Maarheeze
6026XM,10,,Leliestraat,Maarheeze
6026XM,11,,Leliestraat,Maarheeze
6026XM,12,,Leliestraat,Maarheeze
6026XM,14,,Leliestraat,Maarheeze
6026XM,16,,Leliestraat,Maarheeze
6026XM,18,,Leliestraat,Maarheeze
6026XM,20,,Leliestraat,Maarheeze
6026XM,22,,Leliestraat,Maarheeze
6026XM,24,,Leliestraat,Maarheeze
6026XM,26,,Leliestraat,Maarheeze
6021BC,1,,Leliestraat,Budel
6021BC,2,,Leliestraat,Budel
6021BC,3,,Leliestraat,Budel
6021BC,4,,Leliestraat,Budel
6021BC,5,,Leliestraat,Budel
6021BC,6,,Leliestraat,Budel
6021BC,7,,Leliestraat,Budel
6021BC,8,,Leliestraat,Budel
6021BC,9,,Leliestraat,Budel
6021BC,10,,Leliestraat,Budel
6026VM,1,,Libellestraat,Maarheeze
6026VM,2,,Libellestraat,Maarheeze
6026VM,3,,Libellestraat,Maarheeze
6026VM,4,,Libellestraat,Maarheeze
6026VM,5,,Libellestraat,Maarheeze
6026VM,6,,Libellestraat,Maarheeze
6026VM,7,,Libellestraat,Maarheeze
6026VM,8,,Libellestraat,Maarheeze
6026VM,9,,Libellestraat,Maarheeze
6026VM,10,,Libellestraat,Maarheeze
6026VM,11,,Libellestraat,Maarheeze
6026VM,12,,Libellestraat,Maarheeze
6026VM,13,,Libellestraat,Maarheeze
6026VM,14,,Libellestraat,Maarheeze
6026VM,15,,Libellestraat,Maarheeze
6026VM,16,,Libellestraat,Maarheeze
6024AK,136,,Liedekerkestraat,Budel-Dorplein
6024AK,137,,Liedekerkestraat,Budel-Dorplein
6024AK,138,,Liedekerkestraat,Budel-Dorplein
6024AK,139,,Liedekerkestraat,Budel-Dorplein
6024AK,140,,Liedekerkestraat,Budel-Dorplein
6024AK,141,,Liedekerkestraat,Budel-Dorplein
6024AK,142,,Liedekerkestraat,Budel-Dorplein
6024AK,143,,Liedekerkestraat,Budel-Dorplein
6024AK,144,,Liedekerkestraat,Budel-Dorplein
6024AK,145,,Liedekerkestraat,Budel-Dorplein
6024AK,152,,Liedekerkestraat,Budel-Dorplein
6024AK,153,,Liedekerkestraat,Budel-Dorplein
6024AK,154,,Liedekerkestraat,Budel-Dorplein
6024AK,155,,Liedekerkestraat,Budel-Dorplein
6024AK,156,,Liedekerkestraat,Budel-Dorplein
6024AK,157,,Liedekerkestraat,Budel-Dorplein
6024AK,158,,Liedekerkestraat,Budel-Dorplein
6024AK,159,,Liedekerkestraat,Budel-Dorplein
6024AK,160,,Liedekerkestraat,Budel-Dorplein
6024AK,161,,Liedekerkestraat,Budel-Dorplein
6024AE,121,,Lindenlaan,Budel-Dorplein
6023AC,1,,Lochterweg,Budel-Schoot
6023AC,2,,Lochterweg,Budel-Schoot
6023AC,3,,Lochterweg,Budel-Schoot
6023AC,6,,Lochterweg,Budel-Schoot
6023AC,7,,Lochterweg,Budel-Schoot
6023AC,8,,Lochterweg,Budel-Schoot
6023AC,9,,Lochterweg,Budel-Schoot
6023AC,10,,Lochterweg,Budel-Schoot
6021GW,1,,Looierijstraat,Budel
6021GW,2,,Looierijstraat,Budel
6021GW,3,,Looierijstraat,Budel
6021GW,4,,Looierijstraat,Budel
6021GW,5,,Looierijstraat,Budel
6021GW,6,,Looierijstraat,Budel
6021GW,7,,Looierijstraat,Budel
6021GW,8,,Looierijstraat,Budel
6021GW,9,,Looierijstraat,Budel
6021GW,11,,Looierijstraat,Budel
6021GW,13,,Looierijstraat,Budel
6023AA,2,,Loozerdijk,Budel-Schoot
6023AA,4,,Loozerdijk,Budel-Schoot
6023AA,6,,Loozerdijk,Budel-Schoot
6023AA,8,,Loozerdijk,Budel-Schoot
6023AA,9,,Loozerdijk,Budel-Schoot
6023AA,10,,Loozerdijk,Budel-Schoot
6023AA,11,,Loozerdijk,Budel-Schoot
6026DV,2,,Losplaats,Maarheeze
6021XS,1,,Louis Rooijmansstraat,Budel
6021XS,2,,Louis Rooijmansstraat,Budel
6021XS,3,,Louis Rooijmansstraat,Budel
6021XS,4,,Louis Rooijmansstraat,Budel
6021XS,5,,Louis Rooijmansstraat,Budel
6021XS,6,,Louis Rooijmansstraat,Budel
6021XS,7,,Louis Rooijmansstraat,Budel
6021XS,8,,Louis Rooijmansstraat,Budel
6021XS,9,,Louis Rooijmansstraat,Budel
6021XS,10,,Louis Rooijmansstraat,Budel
6021XS,11,,Louis Rooijmansstraat,Budel
6021XS,12,,Louis Rooijmansstraat,Budel
6021PX,1,,Luchthavenweg,Budel
6021PX,2,,Luchthavenweg,Budel
6021PX,3,,Luchthavenweg,Budel
6021PX,4,,Luchthavenweg,Budel
6021PX,5,,Luchthavenweg,Budel
6021PX,6,,Luchthavenweg,Budel
6021PX,7,,Luchthavenweg,Budel
6021PX,8,,Luchthavenweg,Budel
6021PX,9,,Luchthavenweg,Budel
6021PX,10,,Luchthavenweg,Budel
6021PX,16,,Luchthavenweg,Budel
6021PX,20,,Luchthavenweg,Budel
6021PX,22,,Luchthavenweg,Budel
6021EP,2,,Luxemburgsestraat,Budel
6021EP,4,,Luxemburgsestraat,Budel
6021EP,6,,Luxemburgsestraat,Budel
6021EP,8,,Luxemburgsestraat,Budel
6021EP,10,,Luxemburgsestraat,Budel
6021EP,12,,Luxemburgsestraat,Budel
6021EP,14,,Luxemburgsestraat,Budel
6021EP,16,,Luxemburgsestraat,Budel
6021EP,18,,Luxemburgsestraat,Budel
6021EP,20,,Luxemburgsestraat,Budel
6021EP,22,,Luxemburgsestraat,Budel
6021EP,24,,Luxemburgsestraat,Budel
6021EP,26,,Luxemburgsestraat,Budel
6021EP,28,,Luxemburgsestraat,Budel
6021EP,30,,Luxemburgsestraat,Budel
6021EP,32,,Luxemburgsestraat,Budel
6021EP,34,,Luxemburgsestraat,Budel
6021EP,36,,Luxemburgsestraat,Budel
6021EP,38,,Luxemburgsestraat,Budel
6021EP,40,,Luxemburgsestraat,Budel
6021EP,42,,Luxemburgsestraat,Budel
6021CN,1,,Maarheezerweg,Budel
6021CN,3,,Maarheezerweg,Budel
6021CP,4,,Maarheezerweg,Budel
6021CN,5,,Maarheezerweg,Budel
6021CN,7,,Maarheezerweg,Budel
6021CP,8,,Maarheezerweg,Budel
6021CN,9,,Maarheezerweg,Budel
6021CP,10,,Maarheezerweg,Budel
6021CP,12,,Maarheezerweg,Budel
6021CN,13,,Maarheezerweg,Budel
6021CP,14,,Maarheezerweg,Budel
6021CN,15,,Maarheezerweg,Budel
6021CP,16,,Maarheezerweg,Budel
6021CN,17,,Maarheezerweg,Budel
6021CP,18,,Maarheezerweg,Budel
6021CN,19,,Maarheezerweg,Budel
6021CP,20,,Maarheezerweg,Budel
6021CN,21,,Maarheezerweg,Budel
6021CP,22,,Maarheezerweg,Budel
6021CP,26,,Maarheezerweg,Budel
6021CN,27,,Maarheezerweg,Budel
6021CN,29,,Maarheezerweg,Budel
6021CN,31,,Maarheezerweg,Budel
6021CP,32,,Maarheezerweg,Budel
6021CN,33,,Maarheezerweg,Budel
6021CN,35,,Maarheezerweg,Budel
6021CP,36,,Maarheezerweg,Budel
6021CN,37,,Maarheezerweg,Budel
6021CP,38,,Maarheezerweg,Budel
6021CN,39,,Maarheezerweg,Budel
6021CP,40,,Maarheezerweg,Budel
6021CN,41,,Maarheezerweg,Budel
6021CP,42,,Maarheezerweg,Budel
6021CP,44,,Maarheezerweg,Budel
6021CP,46,,Maarheezerweg,Budel
6021CP,50,,Maarheezerweg,Budel
6021CP,52,,Maarheezerweg,Budel
6024AH,112,,Maj. Greenhallweg,Budel-Dorplein
6024AH,114,,Maj. Greenhallweg,Budel-Dorplein
6024AH,115,,Maj. Greenhallweg,Budel-Dorplein
6026VE,1,,Margrietstraat,Maarheeze
6026VE,2,,Margrietstraat,Maarheeze
6026VE,3,,Margrietstraat,Maarheeze
6026VE,4,,Margrietstraat,Maarheeze
6026VE,5,,Margrietstraat,Maarheeze
6026VE,6,,Margrietstraat,Maarheeze
6026VE,7,,Margrietstraat,Maarheeze
6026VE,8,,Margrietstraat,Maarheeze
6026VE,9,,Margrietstraat,Maarheeze
6026VE,10,,Margrietstraat,Maarheeze
6026VE,11,,Margrietstraat,Maarheeze
6026VE,12,,Margrietstraat,Maarheeze
6026VE,13,,Margrietstraat,Maarheeze
6026VE,14,,Margrietstraat,Maarheeze
6026VE,15,,Margrietstraat,Maarheeze
6026VE,16,,Margrietstraat,Maarheeze
6026VE,18,,Margrietstraat,Maarheeze
6026VE,20,,Margrietstraat,Maarheeze
6024AC,46,,Marialaan,Budel-Dorplein
6024AC,48,,Marialaan,Budel-Dorplein
6024AC,49,,Marialaan,Budel-Dorplein
6024AC,50,,Marialaan,Budel-Dorplein
6024AC,51,,Marialaan,Budel-Dorplein
6024AC,52,,Marialaan,Budel-Dorplein
6024AC,53,,Marialaan,Budel-Dorplein
6024AC,54,,Marialaan,Budel-Dorplein
6024AC,55,,Marialaan,Budel-Dorplein
6024AC,56,,Marialaan,Budel-Dorplein
6024AC,57,,Marialaan,Budel-Dorplein
6024AC,59,,Marialaan,Budel-Dorplein
6024AC,61,,Marialaan,Budel-Dorplein
6024AC,62,,Marialaan,Budel-Dorplein
6021CD,1,,Markt,Budel
6021CD,2,,Markt,Budel
6021CD,3,,Markt,Budel
6021CD,4,,Markt,Budel
6021CD,5,,Markt,Budel
6021CD,6,,Markt,Budel
6021CD,7,,Markt,Budel
6021CD,8,,Markt,Budel
6021CD,9,,Markt,Budel
6021CD,10,,Markt,Budel
6021CD,11,,Markt,Budel
6021CD,12,,Markt,Budel
6021CE,14,,Markt,Budel
6021CE,15,,Markt,Budel
6021CE,16,,Markt,Budel
6021CE,17,,Markt,Budel
6021CE,18,,Markt,Budel
6021CE,19,,Markt,Budel
6021CE,21,,Markt,Budel
6021CE,22,,Markt,Budel
6021CE,23,,Markt,Budel
6021CE,24,,Markt,Budel
6021CE,25,,Markt,Budel
6021CE,26,,Markt,Budel
6021CE,28,,Markt,Budel
6021CG,1,,Marktstraat,Budel
6021CG,2,,Marktstraat,Budel
6021CG,3,,Marktstraat,Budel
6021CG,4,,Marktstraat,Budel
6021CG,5,,Marktstraat,Budel
6021CG,7,,Marktstraat,Budel
6021CG,12,,Marktstraat,Budel
6021CG,14,,Marktstraat,Budel
6021CG,16,,Marktstraat,Budel
6021AE,2,,Meemortel,Budel
6021AD,3,,Meemortel,Budel
6021AE,4,,Meemortel,Budel
6021AE,6,,Meemortel,Budel
6021AD,7,,Meemortel,Budel
6021AE,8,,Meemortel,Budel
6021AD,9,,Meemortel,Budel
6021AE,10,,Meemortel,Budel
6021AD,11,,Meemortel,Budel
6021AE,12,,Meemortel,Budel
6021AD,13,,Meemortel,Budel
6021AE,14,,Meemortel,Budel
6021AD,15,,Meemortel,Budel
6021AE,16,,Meemortel,Budel
6021AD,17,,Meemortel,Budel
6021AE,18,,Meemortel,Budel
6021AE,20,,Meemortel,Budel
6021AD,21,,Meemortel,Budel
6021AD,23,,Meemortel,Budel
6021AE,24,,Meemortel,Budel
6021AD,25,,Meemortel,Budel
6021AE,26,,Meemortel,Budel
6021AE,28,,Meemortel,Budel
6021AD,29,,Meemortel,Budel
6021AE,30,,Meemortel,Budel
6021AE,34,,Meemortel,Budel
6021AD,35,,Meemortel,Budel
6021AE,36,,Meemortel,Budel
6021AD,37,,Meemortel,Budel
6021AE,38,,Meemortel,Budel
6021AD,39,,Meemortel,Budel
6021AD,41,,Meemortel,Budel
6021AE,42,,Meemortel,Budel
6021AD,43,,Meemortel,Budel
6021AG,44,,Meemortel,Budel
6021AD,45,,Meemortel,Budel
6021AG,46,,Meemortel,Budel
6021AD,47,,Meemortel,Budel
6021AG,48,,Meemortel,Budel
6021AG,50,,Meemortel,Budel
6021AG,52,,Meemortel,Budel
6021AD,53,,Meemortel,Budel
6021AG,54,,Meemortel,Budel
6021AD,55,,Meemortel,Budel
6021AG,56,,Meemortel,Budel
6021AD,57,,Meemortel,Budel
6021AG,58,,Meemortel,Budel
6021AD,59,,Meemortel,Budel
6021AG,60,,Meemortel,Budel
6021AD,61,,Meemortel,Budel
6021AG,62,,Meemortel,Budel
6021RG,66,,Meemortel,Budel
6021RG,70,,Meemortel,Budel
6026XG,1,,Meidoornstraat,Maarheeze
6026XE,2,,Meidoornstraat,Maarheeze
6026XG,3,,Meidoornstraat,Maarheeze
6026XE,4,,Meidoornstraat,Maarheeze
6026XG,5,,Meidoornstraat,Maarheeze
6026XE,6,,Meidoornstraat,Maarheeze
6026XG,7,,Meidoornstraat,Maarheeze
6026XE,8,,Meidoornstraat,Maarheeze
6026XG,9,,Meidoornstraat,Maarheeze
6026XE,10,,Meidoornstraat,Maarheeze
6026XG,11,,Meidoornstraat,Maarheeze
6026XE,12,,Meidoornstraat,Maarheeze
6026XG,13,,Meidoornstraat,Maarheeze
6026XE,14,,Meidoornstraat,Maarheeze
6026XG,15,,Meidoornstraat,Maarheeze
6026XE,16,,Meidoornstraat,Maarheeze
6026XG,17,,Meidoornstraat,Maarheeze
6026XE,18,,Meidoornstraat,Maarheeze
6026XG,19,,Meidoornstraat,Maarheeze
6026XE,20,,Meidoornstraat,Maarheeze
6026XG,21,,Meidoornstraat,Maarheeze
6026XG,23,,Meidoornstraat,Maarheeze
6026XG,25,,Meidoornstraat,Maarheeze
6026XG,27,,Meidoornstraat,Maarheeze
6026XG,29,,Meidoornstraat,Maarheeze
6026XG,31,,Meidoornstraat,Maarheeze
6026XG,33,,Meidoornstraat,Maarheeze
6026XG,35,,Meidoornstraat,Maarheeze
6026XG,37,,Meidoornstraat,Maarheeze
6026XG,39,,Meidoornstraat,Maarheeze
6026XG,41,,Meidoornstraat,Maarheeze
6026XG,43,,Meidoornstraat,Maarheeze
6026XG,45,,Meidoornstraat,Maarheeze
6026XG,47,,Meidoornstraat,Maarheeze
6026XG,49,,Meidoornstraat,Maarheeze
6026XG,51,,Meidoornstraat,Maarheeze
6026XG,53,,Meidoornstraat,Maarheeze
6021AX,1,,Meidoornstraat,Budel
6021AZ,2,,Meidoornstraat,Budel
6021AX,3,,Meidoornstraat,Budel
6021AZ,4,,Meidoornstraat,Budel
6021AX,5,,Meidoornstraat,Budel
6021AZ,6,,Meidoornstraat,Budel
6021AX,7,,Meidoornstraat,Budel
6021AZ,8,,Meidoornstraat,Budel
6021AX,9,,Meidoornstraat,Budel
6021AZ,10,,Meidoornstraat,Budel
6021AX,11,,Meidoornstraat,Budel
6021AZ,12,,Meidoornstraat,Budel
6021AX,13,,Meidoornstraat,Budel
6021AZ,14,,Meidoornstraat,Budel
6021AX,15,,Meidoornstraat,Budel
6021AZ,16,,Meidoornstraat,Budel
6021AX,17,,Meidoornstraat,Budel
6021AZ,18,,Meidoornstraat,Budel
6021AX,19,,Meidoornstraat,Budel
6021AZ,20,,Meidoornstraat,Budel
6021AZ,22,,Meidoornstraat,Budel
6021AX,23,,Meidoornstraat,Budel
6021AZ,24,,Meidoornstraat,Budel
6021AX,25,,Meidoornstraat,Budel
6021AZ,26,,Meidoornstraat,Budel
6021AX,27,,Meidoornstraat,Budel
6021AZ,28,,Meidoornstraat,Budel
6021AX,29,,Meidoornstraat,Budel
6021AZ,30,,Meidoornstraat,Budel
6021AZ,32,,Meidoornstraat,Budel
6021AZ,34,,Meidoornstraat,Budel
6021AZ,36,,Meidoornstraat,Budel
6021AZ,38,,Meidoornstraat,Budel
6021JA,1,,Meierijstraat,Budel
6021JB,2,,Meierijstraat,Budel
6021JA,3,,Meierijstraat,Budel
6021JB,4,,Meierijstraat,Budel
6021JB,14,,Meierijstraat,Budel
6021JB,16,,Meierijstraat,Budel
6021JA,17,,Meierijstraat,Budel
6021JB,18,,Meierijstraat,Budel
6021JA,19,,Meierijstraat,Budel
6021JB,20,,Meierijstraat,Budel
6021JA,21,,Meierijstraat,Budel
6021JB,22,,Meierijstraat,Budel
6021JA,23,,Meierijstraat,Budel
6021JB,24,,Meierijstraat,Budel
6021JA,25,,Meierijstraat,Budel
6021JB,26,,Meierijstraat,Budel
6021JA,27,,Meierijstraat,Budel
6021JB,28,,Meierijstraat,Budel
6021JA,29,,Meierijstraat,Budel
6021JB,30,,Meierijstraat,Budel
6021JA,31,,Meierijstraat,Budel
6021JB,32,,Meierijstraat,Budel
6021JA,33,,Meierijstraat,Budel
6021JB,34,,Meierijstraat,Budel
6021JA,35,,Meierijstraat,Budel
6021JB,36,,Meierijstraat,Budel
6021JB,38,,Meierijstraat,Budel
6021JB,40,,Meierijstraat,Budel
6021JB,42,,Meierijstraat,Budel
6021JB,44,,Meierijstraat,Budel
6021JB,46,,Meierijstraat,Budel
6021JB,48,,Meierijstraat,Budel
6021JC,50,,Meierijstraat,Budel
6021JC,52,,Meierijstraat,Budel
6021JC,54,,Meierijstraat,Budel
6021JC,56,,Meierijstraat,Budel
6021JC,58,,Meierijstraat,Budel
6021JC,60,,Meierijstraat,Budel
6021JC,62,,Meierijstraat,Budel
6021JC,64,,Meierijstraat,Budel
6021VW,1,,Mgr. Bekkersstraat,Budel
6021VW,3,,Mgr. Bekkersstraat,Budel
6021VW,5,,Mgr. Bekkersstraat,Budel
6021VW,7,,Mgr. Bekkersstraat,Budel
