2681BS,20,,Molenstraat,Monster
2671CM,33,,Grote Woerdlaan,Naaldwijk
2671CM,31,,Grote Woerdlaan,Naaldwijk
2671LK,45,,Hoge Geest,Naaldwijk
2671LJ,1007,vbo,Hoge Geest,Naaldwijk
2671LT,25,,Kleine Achterweg,Naaldwijk
2671LT,42,,Kleine Achterweg,Naaldwijk
2671CP,25,,Verburchlaan,Naaldwijk
2671LZ,7,,Boomgaardspad,Naaldwijk
2671LZ,5,,Boomgaardspad,Naaldwijk
2671MR,1,,Galgeweg,Naaldwijk
2671MR,3,,De Hoge Bomen,Naaldwijk
2671MR,1019,vbo,Galgeweg,Naaldwijk
2671AM,156,,Duiventorenstraat,Naaldwijk
2671AP,156,,Duiventorenstraat,Naaldwijk
2371CS,56,,Verspycklaan,Naaldwijk
2671BA,1,,Hendrik van Naaldwijkstraat,Naaldwijk
2671HZ,35,,Herenstraat,Naaldwijk
2671HZ,33,,Herenstraat,Naaldwijk
2671HP,24,,Van Tijnplein,Naaldwijk
2671MH,10,,Zuideinde,Naaldwijk
2671MH,12,,Zuideinde,Naaldwijk
2672LD,60,,Professor Holwerdalaan,Naaldwijk
2671VX,2,,Verdilaan,Naaldwijk
2671DX,3,,Hoge Noordweg,Naaldwijk
2671DX,5,,Hoge Noordweg,Naaldwijk
2671DV,34,,Lange Broekweg,Naaldwijk
2671VW,5,,Verdilaan,Naaldwijk
2671VW,7,,Verdilaan,Naaldwijk
2671VW,9,,Verdilaan,Naaldwijk
2672BA,29,,Groen van Prinstererstraat,Naaldwijk
2691KG,31,,Noordlandseweg,'s-Gravenzande
2691KE,31,,Strandweg,'s-Gravenzande
2691KE,25,,Strandweg,'s-Gravenzande
2691KE,23,,Strandweg,'s-Gravenzande
2691KE,27,,Strandweg,'s-Gravenzande
2691BD,14,,Sweelincklaan,'s-Gravenzande
2692BD,14,,Sweelincklaan,'s-Gravenzande
2691NW,100,,Maasdijk,'s-Gravenzande
2691NN,2,,Staelduinlaan,'s-Gravenzande
2691AC,30,,Vreeburghlaan,'s-Gravenzande
2691JX,9,,Boerenlaan,'s-Gravenzande
2691MB,5,,Maesemundeweg,'s-Gravenzande
2691WK,56,,Rijnvaartweg,'s-Gravenzande
2691LA,19,,Heenweg,'s-Gravenzande
2693BD,7,,Buijs Ballotstraat,'s-Gravenzande
2691BG,8,,van Leeuwenhoekstraat,'s-Gravenzande
2691BG,20,,van Leeuwenhoekstraat,'s-Gravenzande
2693BG,12,,van Leeuwenhoekstraat,'s-Gravenzande
2691RD,109,,Naaldwijkseweg,'s-Gravenzande
2692AE,13,,van der Horstweg,'s-Gravenzande
2691BV,8,,Marktplein,'s-Gravenzande
2691BV,45,,Marktplein,'s-Gravenzande
2691XE,1,,Mr. Schokkingstraat,'s-Gravenzande
2691GR,41,,Prins Mauritsstraat,'s-Gravenzande
2691GR,45,,Prins Mauritsstraat,'s-Gravenzande
2691GR,39,,Prins Mauritsstraat,'s-Gravenzande
2691GR,43,,Prins Mauritsstraat,'s-Gravenzande
2691GR,37,,Prins Mauritsstraat,'s-Gravenzande
2691GR,35,,Prins Mauritsstraat,'s-Gravenzande
2691GR,33,,Prins Mauritsstraat,'s-Gravenzande
2691GR,31,,Prins Mauritsstraat,'s-Gravenzande
2691GR,29,,Prins Mauritsstraat,'s-Gravenzande
2691GR,27,,Prins Mauritsstraat,'s-Gravenzande
2691VT,2,,Prinses Beatrixstraat,'s-Gravenzande
2691SP,1,,Graaf Janplaats,'s-Gravenzande
2691ZX,1212,vbo,Graaf Florisplein,'s-Gravenzande
2691SP,11,,Graaf Janplaats,'s-Gravenzande
2691SP,16,,Graaf Janplaats,'s-Gravenzande
2691ZX,1214,vbo,Graaf Florisplein,'s-Gravenzande
2691BT,8,,van Straalenstraat,'s-Gravenzande
2691VV,6,,Armgardplaats,'s-Gravenzande
2691VV,8,,Armgardplaats,'s-Gravenzande
2691VV,10,,Armgardplaats,'s-Gravenzande
2691VV,12,,Armgardplaats,'s-Gravenzande
2691VV,14,,Armgardplaats,'s-Gravenzande
2691VV,16,,Armgardplaats,'s-Gravenzande
2691CR,4,,Prins Clausstraat,'s-Gravenzande
2684XN,29,,Evertsenstraat,Ter Heijde
2684XN,31,,Evertsenstraat,Ter Heijde
2684XN,33,,Evertsenstraat,Ter Heijde
2684XN,35,,Evertsenstraat,Ter Heijde
2684XN,37,,Evertsenstraat,Ter Heijde
2684XN,39,,Evertsenstraat,Ter Heijde
2684XN,41,,Evertsenstraat,Ter Heijde
2684XN,43,,Evertsenstraat,Ter Heijde
2684XN,45,,Evertsenstraat,Ter Heijde
2684XN,47,,Evertsenstraat,Ter Heijde
2684XN,49,,Evertsenstraat,Ter Heijde
2684XN,51,,Evertsenstraat,Ter Heijde
2684XN,53,,Evertsenstraat,Ter Heijde
2684XN,55,,Evertsenstraat,Ter Heijde
2681GG,1015,vbo,Goudenregenstraat,Monster
2681GG,91,,Goudenregenstraat,Monster
2681GG,1016,vbo,Goudenregenstraat,Monster
2681GG,65,,Goudenregenstraat,Monster
2681GG,1017,vbo,Goudenregenstraat,Monster
2681GG,63,,Goudenregenstraat,Monster
2681GG,1018,vbo,Goudenregenstraat,Monster
2681GG,61,,Goudenregenstraat,Monster
2681GG,1019,vbo,Goudenregenstraat,Monster
2681GG,59,,Goudenregenstraat,Monster
2681GG,1020,vbo,Goudenregenstraat,Monster
2681GG,57,,Goudenregenstraat,Monster
2681GG,1021,vbo,Goudenregenstraat,Monster
2681GG,55,,Goudenregenstraat,Monster
2681GG,1022,vbo,Goudenregenstraat,Monster
2681GG,53,,Goudenregenstraat,Monster
2681GG,1023,vbo,Goudenregenstraat,Monster
2681GG,51,,Goudenregenstraat,Monster
2681GG,1024,vbo,Goudenregenstraat,Monster
2681GE,49,,Goudenregenstraat,Monster
2681GG,1025,vbo,Goudenregenstraat,Monster
2681GE,47,,Goudenregenstraat,Monster
2681GG,1026,vbo,Goudenregenstraat,Monster
2681GE,45,,Goudenregenstraat,Monster
2681GG,1027,vbo,Goudenregenstraat,Monster
2681GE,43,,Goudenregenstraat,Monster
2681GG,1028,vbo,Goudenregenstraat,Monster
2681GE,41,,Goudenregenstraat,Monster
2681GG,1029,vbo,Goudenregenstraat,Monster
2681GE,39,,Goudenregenstraat,Monster
2681GG,1030,vbo,Goudenregenstraat,Monster
2681GE,37,,Goudenregenstraat,Monster
2681GG,1031,vbo,Goudenregenstraat,Monster
2681GE,35,,Goudenregenstraat,Monster
2681GG,1032,vbo,Goudenregenstraat,Monster
2681GE,33,,Goudenregenstraat,Monster
2681GG,1033,vbo,Goudenregenstraat,Monster
2681GE,31,,Goudenregenstraat,Monster
2681GG,1034,vbo,Goudenregenstraat,Monster
2681GE,29,,Goudenregenstraat,Monster
2681GG,1035,vbo,Goudenregenstraat,Monster
2681GE,27,,Goudenregenstraat,Monster
2681PT,40,,Groeneveldstraat,Monster
2681PT,42,,Groeneveldstraat,Monster
2681PT,44,,Groeneveldstraat,Monster
2681PT,46,,Groeneveldstraat,Monster
2681PT,48,,Groeneveldstraat,Monster
2681PT,50,,Groeneveldstraat,Monster
2681PT,52,,Groeneveldstraat,Monster
2681PT,54,,Groeneveldstraat,Monster
2681PT,56,,Groeneveldstraat,Monster
2681PT,58,,Groeneveldstraat,Monster
2681EX,4,,Clematis,Monster
2681EX,6,,Clematis,Monster
2681EX,8,,Clematis,Monster
2681EX,10,,Clematis,Monster
2681EX,12,,Clematis,Monster
2681EX,14,,Clematis,Monster
2681EX,16,,Clematis,Monster
2681GZ,1,,Dillenburgplaats,Monster
2681GZ,3,,Dillenburgplaats,Monster
2681GZ,5,,Dillenburgplaats,Monster
2681GZ,7,,Dillenburgplaats,Monster
2681GZ,9,,Dillenburgplaats,Monster
2681GZ,11,,Dillenburgplaats,Monster
2681GZ,13,,Dillenburgplaats,Monster
2681GZ,15,,Dillenburgplaats,Monster
2681GZ,17,,Dillenburgplaats,Monster
2681GZ,19,,Dillenburgplaats,Monster
2681GZ,21,,Dillenburgplaats,Monster
2681GV,35,1,Geesterwijckstraat,Monster
2681CD,39,vbo,Hortensiastraat,Monster
2681CD,39,,Hortensiastraat,Monster
2681CD,47,,Hortensiastraat,Monster
2681CD,41,vbo,Hortensiastraat,Monster
2681CD,41,,Hortensiastraat,Monster
2681CD,45,,Hortensiastraat,Monster
2681CD,43,vbo,Hortensiastraat,Monster
2681CD,43,,Hortensiastraat,Monster
2681CD,45,vbo,Hortensiastraat,Monster
2681CD,47,vbo,Hortensiastraat,Monster
2681PB,55,,Haagweg,Monster
2681PB,53,,Haagweg,Monster
2681JZ,1137,vbo,Het Veld,Monster
2681JZ,1,,Het Veld,Monster
2681JL,17,,Hoevelaan,Monster
2681PA,1140,vbo,Haagweg,Monster
2681PK,31,1,Madeweg,Monster
2681MB,18,,De Poel,Monster
2681MB,26,,De Poel,Monster
2681LK,7,,Hoflaan,Monster
2681LN,21,,Zwartendijk,Monster
2681LC,57,,Havenstraat,Monster
2681LC,55,,Havenstraat,Monster
2681LC,53,,Havenstraat,Monster
2681LC,49,,Havenstraat,Monster
2681KN,40,,Vivaldi,Monster
2681KN,42,,Vivaldi,Monster
2681JP,25,,Obrecht,Monster
2681SW,226,,Rijnweg,Monster
2681RT,110,,Emmastraat,Monster
2681SC,69,,Rijnweg,Monster
2681TS,69,,Parallelweg,Monster
2681TS,67,,Parallelweg,Monster
2681TS,65,,Parallelweg,Monster
2681TS,63,,Parallelweg,Monster
2681TS,61,,Parallelweg,Monster
2681TS,59,,Parallelweg,Monster
2681TS,57,,Parallelweg,Monster
2681TS,55,,Parallelweg,Monster
2681TS,53,,Parallelweg,Monster
2681TS,51,,Parallelweg,Monster
2681TS,49,,Parallelweg,Monster
2681TS,47,,Parallelweg,Monster
2681TS,45,,Parallelweg,Monster
2681TS,43,,Parallelweg,Monster
2681TS,41,,Parallelweg,Monster
2681JB,21,,Vijverweg,Monster
2681CR,29,,Ahornstraat,Monster
2681DG,39,,Herckenrathstraat,Monster
2681DG,41,,Herckenrathstraat,Monster
2681DG,43,,Herckenrathstraat,Monster
2681AZ,11,1,Dr van den Brinkstraat,Monster
2681AN,21,,Frans Halsstraat,Monster
2681AN,25,,Frans Halsstraat,Monster
2681AN,27,,Frans Halsstraat,Monster
2681AN,29,,Frans Halsstraat,Monster
2681AN,31,,Frans Halsstraat,Monster
2681EA,69,,Larixlaan,Monster
2681EB,69,,Larixlaan,Monster
2295LS,1,,Slimpad,Kwintsheul
2295PE,1,,Leeuwerik,Kwintsheul
2295LA,1016,vbo,Kerkstraat,Kwintsheul
2295PE,5,,Leeuwerik,Kwintsheul
2295PE,1020,vbo,Leeuwerik,Kwintsheul
2295LD,127,,Kerkstraat,Kwintsheul
2295KZ,45,,Zwet,Kwintsheul
2295KZ,4,,Zwet,Kwintsheul
2295RN,50,,Lange Wateringkade,Kwintsheul
2295RP,50,,Lange Wateringkade,Kwintsheul
2295LX,1027,vbo,Groenepad,Kwintsheul
2295LX,1028,vbo,Groenepad,Kwintsheul
2295LX,1029,vbo,Groenepad,Kwintsheul
2675BN,4,,Stuartlaan,Honselersdijk
2675BM,20,,Bospolder,Honselersdijk
2681JK,1004,,Bosweg,Honselersdijk
2671BT,6,,Bosweg,Naaldwijk
2675AM,7,,Stationsweg,Honselersdijk
2675AM,23,,Stationsweg,Honselersdijk
2675BV,3,,Van Brienenlaan,Honselersdijk
2675BV,5,,Van Brienenlaan,Honselersdijk
2675CL,7,1,Poeldijksepad,Honselersdijk
2675KL,1015,,Middel Broekweg,Honselersdijk
2675KL,1016,,Middel Broekweg,Honselersdijk
2675KL,1017,,Middel Broekweg,Honselersdijk
2675AD,1018,,Dijkweg,Honselersdijk
2675AE,64,,Dijkweg,Honselersdijk
2675CG,78,,Molenlaan,Honselersdijk
2675TE,1021,,Burgemeester Hoogenboomstraat,Honselersdijk
2675SV,5,,Mariëndijk,Honselersdijk
2675CK,14,,Plaats,Honselersdijk
2675SH,2,,Vogelaer,Honselersdijk
2675KA,17,,Middel Broekweg,Honselersdijk
2675KL,1035,,Middel Broekweg,Honselersdijk
2675LW,1036,,Zandheullaan,Honselersdijk
2675KE,6,,Middel Broekweg is vervallen,Honselersdijk
2675LH,1,,Molenbroeklaan,Honselersdijk
2675KV,2,,Sprongenloet,Honselersdijk
2675LE,42,,Harteveldlaan,Honselersdijk
2675KD,25,,Endeldijk,Honselersdijk
2678CZ,8002,,Laan van Adrichem,De Lier
2678KL,8005,,Laan van Binnendijk,De Lier
2678NW,32,,Burgerweg,De Lier
2676XP,32,,Oranjeplein,Maasdijk
2676XP,33,,Oranjeplein,Maasdijk
2676XP,34,,Oranjeplein,Maasdijk
2676XP,35,,Oranjeplein,Maasdijk
2676XP,36,,Oranjeplein,Maasdijk
2676XP,37,,Oranjeplein,Maasdijk
2676BA,9,,Cornelis Houtmanplein,Maasdijk
2676VZ,1,GAR,De Ruyterstraat,Maasdijk
2676XK,47,GA01,Korte Kruisweg,Maasdijk
2291PJ,101,,Maasdijkseweg,Wateringen
2291PJ,103,,Maasdijkseweg,Wateringen
2291PJ,105,,Maasdijkseweg,Wateringen
2291PJ,107,,Maasdijkseweg,Wateringen
2291PJ,109,,Maasdijkseweg,Wateringen
2291PJ,111,,Maasdijkseweg,Wateringen
2291PJ,113,,Maasdijkseweg,Wateringen
2292JB,93,,Turfschipper,Wateringen
2292JK,93,,Turfschipper,Wateringen
2292JB,95,,Turfschipper,Wateringen
2292JK,95,,Turfschipper,Wateringen
2292JB,97,,Turfschipper,Wateringen
2292JK,97,,Turfschipper,Wateringen
2292JB,99,,Turfschipper,Wateringen
2292JK,99,,Turfschipper,Wateringen
2681VN,9,,Heijdseweg,Monster
2681TZ,708,,Vlotlaan,Monster
2671AS,111,,Kleine Woerdlaan,Naaldwijk
2673BA,12,,De Linge,Naaldwijk
2671LS,15,,Kleine Achterweg,Naaldwijk
2672DS,6,,Galderie,Naaldwijk
2672DS,8,,Galderie,Naaldwijk
2672DS,10,,Galderie,Naaldwijk
2672DS,12,,Galderie,Naaldwijk
2672DS,14,,Galderie,Naaldwijk
2672DS,16,,Galderie,Naaldwijk
2672DS,18,,Galderie,Naaldwijk
2672DS,20,,Galderie,Naaldwijk
2672DS,22,,Galderie,Naaldwijk
2672DS,23,,Galderie,Naaldwijk
2672DS,25,,Galderie,Naaldwijk
2672DW,1,,Bloementuin,Naaldwijk
2672DW,2,,Bloementuin,Naaldwijk
2672DW,3,,Bloementuin,Naaldwijk
2672DW,4,,Bloementuin,Naaldwijk
2672DW,5,,Bloementuin,Naaldwijk
2672DW,6,,Bloementuin,Naaldwijk
2672DW,7,,Bloementuin,Naaldwijk
2672DW,8,,Bloementuin,Naaldwijk
2672DW,9,,Bloementuin,Naaldwijk
2672DW,10,,Bloementuin,Naaldwijk
2672DW,11,,Bloementuin,Naaldwijk
2672DW,12,,Bloementuin,Naaldwijk
2672DW,13,,Bloementuin,Naaldwijk
2672DW,14,,Bloementuin,Naaldwijk
2672DW,15,,Bloementuin,Naaldwijk
2672DW,16,,Bloementuin,Naaldwijk
2672DW,17,,Bloementuin,Naaldwijk
2672DW,18,,Bloementuin,Naaldwijk
2672DW,19,,Bloementuin,Naaldwijk
2672DW,20,,Bloementuin,Naaldwijk
2672DW,21,,Bloementuin,Naaldwijk
2672DW,22,,Bloementuin,Naaldwijk
2672DW,23,,Bloementuin,Naaldwijk
2672DW,24,,Bloementuin,Naaldwijk
2672DW,25,,Bloementuin,Naaldwijk
2672DW,26,,Bloementuin,Naaldwijk
2672DW,27,,Bloementuin,Naaldwijk
2672DW,28,,Bloementuin,Naaldwijk
2672DW,30,,Bloementuin,Naaldwijk
2672DW,32,,Bloementuin,Naaldwijk
2672DW,34,,Bloementuin,Naaldwijk
2672DW,36,,Bloementuin,Naaldwijk
2672DW,38,,Bloementuin,Naaldwijk
2672DW,40,,Bloementuin,Naaldwijk
2672DW,42,,Bloementuin,Naaldwijk
2672DW,44,,Bloementuin,Naaldwijk
2672DW,46,,Bloementuin,Naaldwijk
2672DX,1,,Fazanterie,Naaldwijk
2672DX,2,,Fazanterie,Naaldwijk
2672DX,3,,Fazanterie,Naaldwijk
2672DX,4,,Fazanterie,Naaldwijk
2672DX,5,,Fazanterie,Naaldwijk
2672DX,6,,Fazanterie,Naaldwijk
2672DX,7,,Fazanterie,Naaldwijk
2672DX,8,,Fazanterie,Naaldwijk
2672DX,9,,Fazanterie,Naaldwijk
2672DX,10,,Fazanterie,Naaldwijk
2672DX,12,,Fazanterie,Naaldwijk
2672GD,2,,Slotenmakerstraat,Naaldwijk
2671BL,18,,Sophia van Teylingenstraat,Naaldwijk
2671BL,20,,Sophia van Teylingenstraat,Naaldwijk
2671BL,22,,Sophia van Teylingenstraat,Naaldwijk
2671BL,24,,Sophia van Teylingenstraat,Naaldwijk
2671BL,26,,Sophia van Teylingenstraat,Naaldwijk
2671BL,28,,Sophia van Teylingenstraat,Naaldwijk
2671BL,30,,Sophia van Teylingenstraat,Naaldwijk
2671BL,32,,Sophia van Teylingenstraat,Naaldwijk
2671BL,34,,Sophia van Teylingenstraat,Naaldwijk
2671BL,36,,Sophia van Teylingenstraat,Naaldwijk
2671BL,38,,Sophia van Teylingenstraat,Naaldwijk
2671BL,40,,Sophia van Teylingenstraat,Naaldwijk
2671BL,42,,Sophia van Teylingenstraat,Naaldwijk
2671BL,44,,Sophia van Teylingenstraat,Naaldwijk
2671DP,41,,Burgemeester Elsenweg,Naaldwijk
2671BG,4,,Catharina van Heenvlietstraat,Naaldwijk
2671BG,6,,Catharina van Heenvlietstraat,Naaldwijk
2671BG,8,,Catharina van Heenvlietstraat,Naaldwijk
2671BJ,1,,Simon van Arkelstraat,Naaldwijk
2671BK,2,,Simon van Arkelstraat,Naaldwijk
2671BJ,3,,Simon van Arkelstraat,Naaldwijk
2671BK,4,,Simon van Arkelstraat,Naaldwijk
2671BJ,5,,Simon van Arkelstraat,Naaldwijk
2671BK,6,,Simon van Arkelstraat,Naaldwijk
2671BJ,7,,Simon van Arkelstraat,Naaldwijk
2671BK,8,,Simon van Arkelstraat,Naaldwijk
2671BJ,9,,Simon van Arkelstraat,Naaldwijk
2671BK,10,,Simon van Arkelstraat,Naaldwijk
2671BJ,11,,Simon van Arkelstraat,Naaldwijk
2671BK,12,,Simon van Arkelstraat,Naaldwijk
2671BL,19,,Sophia van Teylingenstraat,Naaldwijk
2671BH,2,,Machteld v Raaphorststraat,Naaldwijk
2676BS,163,TRAF,Korte Kruisweg,Maasdijk
2691CE,6,,Oudelandstraat,'s-Gravenzande
2291CE,79,16,Kerklaan,Wateringen
2691GX,9,,Stephensonstraat,'s-Gravenzande
2678VV,2,ga1,van Swietenstraat,De Lier
2678VV,2,ga2,van Swietenstraat,De Lier
2678VV,2,ga6,van Swietenstraat,De Lier
2678BH,33,,Heimond,De Lier
2678BH,24,,Heimond,De Lier
2678BJ,33,,Heimond,De Lier
2678TL,2,GA01,Persijnstraat,De Lier
2678TL,2,GA02,Persijnstraat,De Lier
2678TL,2,GA03,Persijnstraat,De Lier
2691WK,42,GA01,Rijnvaartweg,'s-Gravenzande
2291CE,33,6,Kerklaan,Wateringen
2291CD,33,6,Kerklaan,Wateringen
2678RZ,24,,Ambachtswerf,De Lier
2678RZ,26,,Ambachtswerf,De Lier
2685AX,2,,De Zuyt Bruyn,Poeldijk
2675TB,2,,Van Poeljestraat,Honselersdijk
2675TB,6,,Van Poeljestraat,Honselersdijk
2675TB,14,,Van Poeljestraat,Honselersdijk
2675TB,16,,Van Poeljestraat,Honselersdijk
2675TB,18,,Van Poeljestraat,Honselersdijk
2675TB,26,,Van Poeljestraat,Honselersdijk
2675TB,28,,Van Poeljestraat,Honselersdijk
2675TB,34,,Van Poeljestraat,Honselersdijk
2675TB,38,,Van Poeljestraat,Honselersdijk
2675TB,40,,Van Poeljestraat,Honselersdijk
2675TB,46,,Van Poeljestraat,Honselersdijk
2675TB,48,,Van Poeljestraat,Honselersdijk
2675TB,50,,Van Poeljestraat,Honselersdijk
2675TB,56,,Van Poeljestraat,Honselersdijk
2675TB,60,,Van Poeljestraat,Honselersdijk
2675TB,62,,Van Poeljestraat,Honselersdijk
2675TB,68,,Van Poeljestraat,Honselersdijk
2675TB,70,,Van Poeljestraat,Honselersdijk
2675TB,74,,Van Poeljestraat,Honselersdijk
2675TB,82,,Van Poeljestraat,Honselersdijk
2675TB,86,,Van Poeljestraat,Honselersdijk
2675TB,90,,Van Poeljestraat,Honselersdijk
2675TB,98,,Van Poeljestraat,Honselersdijk
2675TB,100,,Van Poeljestraat,Honselersdijk
2678RZ,28,,Ambachtswerf,De Lier
2671MH,17,,Zuidkaper,Naaldwijk
2673CL,17,,Zuidkaper,Naaldwijk
2671MH,19,,Zuidkaper,Naaldwijk
2673CL,19,,Zuidkaper,Naaldwijk
2671MH,21,,Zuidkaper,Naaldwijk
2673CL,21,,Zuidkaper,Naaldwijk
