6321EK,1,,Breulsweg,Wijlre
6287CE,1,,Kelderweg,Eys
6287CD,58,,Mr dr Froweinweg,Eys
6287CD,56,,Mr dr Froweinweg,Eys
6287CD,52,,Mr dr Froweinweg,Eys
6287CD,50,,Mr dr Froweinweg,Eys
6287CD,48,,Mr dr Froweinweg,Eys
6287CD,46,,Mr dr Froweinweg,Eys
6287CD,44,,Mr dr Froweinweg,Eys
6287CD,42,,Mr dr Froweinweg,Eys
6287CC,40,,Mr dr Froweinweg,Eys
6287CC,38,,Mr dr Froweinweg,Eys
6287CC,36,,Mr dr Froweinweg,Eys
6287CC,34,,Mr dr Froweinweg,Eys
6287CC,32,,Mr dr Froweinweg,Eys
6287CC,30,,Mr dr Froweinweg,Eys
6287CC,28,,Mr dr Froweinweg,Eys
6287CC,26,,Mr dr Froweinweg,Eys
6287CC,24,,Mr dr Froweinweg,Eys
6287CC,22,,Mr dr Froweinweg,Eys
6287CC,20,,Mr dr Froweinweg,Eys
6287CC,18,,Mr dr Froweinweg,Eys
6287CC,16,,Mr dr Froweinweg,Eys
6287CC,14,,Mr dr Froweinweg,Eys
6287CC,12,,Mr dr Froweinweg,Eys
6287CC,10,,Mr dr Froweinweg,Eys
6321CG,25,,Krommeweg,Wijlre
6321CG,23,,Krommeweg,Wijlre
6321CG,21,,Krommeweg,Wijlre
6321CG,19,,Krommeweg,Wijlre
6321CG,17,,Krommeweg,Wijlre
6321CG,15,,Krommeweg,Wijlre
6321CG,13,,Krommeweg,Wijlre
6321CE,46,,Krommeweg,Wijlre
6321CE,44,,Krommeweg,Wijlre
6321CE,16,,Krommeweg,Wijlre
6321CE,14,,Krommeweg,Wijlre
6321CE,12,,Krommeweg,Wijlre
6321CE,10,,Krommeweg,Wijlre
6321CE,8,,Krommeweg,Wijlre
6321CE,6,,Krommeweg,Wijlre
6321CE,4,,Krommeweg,Wijlre
6321CE,2,,Krommeweg,Wijlre
6321CC,11,,Pastoor Schulpenstraat,Wijlre
6321CC,9,,Pastoor Schulpenstraat,Wijlre
6321CC,7,,Pastoor Schulpenstraat,Wijlre
6321CC,6,,Pastoor Schulpenstraat,Wijlre
6321CC,4,,Pastoor Schulpenstraat,Wijlre
6321CC,3,,Pastoor Schulpenstraat,Wijlre
6321CB,20,,Kapelaan Janssenstraat,Wijlre
6321CB,19,,Kapelaan Janssenstraat,Wijlre
6321CB,18,,Kapelaan Janssenstraat,Wijlre
6321CB,16,,Kapelaan Janssenstraat,Wijlre
6321CB,15,,Kapelaan Janssenstraat,Wijlre
6321CB,14,,Kapelaan Janssenstraat,Wijlre
6321CB,13,,Kapelaan Janssenstraat,Wijlre
6321CB,12,,Kapelaan Janssenstraat,Wijlre
6321CB,10,,Kapelaan Janssenstraat,Wijlre
6321CB,9,,Kapelaan Janssenstraat,Wijlre
6321CB,8,,Kapelaan Janssenstraat,Wijlre
6321CB,7,,Kapelaan Janssenstraat,Wijlre
6321CB,6,,Kapelaan Janssenstraat,Wijlre
6321CB,4,,Kapelaan Janssenstraat,Wijlre
6321CB,3,,Kapelaan Janssenstraat,Wijlre
6321CB,2,,Kapelaan Janssenstraat,Wijlre
6321CB,1,,Kapelaan Janssenstraat,Wijlre
6321CA,16,,Kapelaan Franckstraat,Wijlre
6321CA,14,,Kapelaan Franckstraat,Wijlre
6321CA,13,,Kapelaan Franckstraat,Wijlre
6287BH,16,,Mesweg,Eys
6287BH,14,,Mesweg,Eys
6287BH,12,,Mesweg,Eys
6287BH,10,,Mesweg,Eys
6287BH,8,,Mesweg,Eys
6287BH,6,,Mesweg,Eys
6287BH,4,,Mesweg,Eys
6287BG,49,,Mesweg,Eys
6287BG,47,,Mesweg,Eys
6287BG,45,,Mesweg,Eys
6287BG,43,,Mesweg,Eys
6287BG,41,,Mesweg,Eys
6287BG,39,,Mesweg,Eys
6287BG,37,,Mesweg,Eys
6287BG,35,,Mesweg,Eys
6287BG,33,,Mesweg,Eys
6287BG,31,,Mesweg,Eys
6287BG,29,,Mesweg,Eys
6287BG,27,,Mesweg,Eys
6287BG,25,,Mesweg,Eys
6287BG,23,,Mesweg,Eys
6287BG,21,,Mesweg,Eys
6287BG,19,,Mesweg,Eys
6287BG,17,,Mesweg,Eys
6287BG,15,,Mesweg,Eys
6287BG,13,,Mesweg,Eys
6287BG,11,,Mesweg,Eys
6287BG,9,,Mesweg,Eys
6287BG,7,,Mesweg,Eys
6287BG,5,,Mesweg,Eys
6287BG,3,,Mesweg,Eys
6287BG,1,,Mesweg,Eys
6321BV,13,,Pastoor Maessenstraat,Wijlre
6281AL,43,,Commandeurstraat,Mechelen
6281AL,31,,Commandeurstraat,Mechelen
6287BE,19,,Vinkstraat,Eys
6287BE,18,,Vinkstraat,Eys
6287BE,17,,Vinkstraat,Eys
6287BE,16,,Vinkstraat,Eys
6287BE,15,,Vinkstraat,Eys
6287BE,14,,Vinkstraat,Eys
6287AP,5,,Pastoor Duckweilerweg,Eys
6287AP,4,,Pastoor Duckweilerweg,Eys
6287AP,3,,Pastoor Duckweilerweg,Eys
6287AP,2,,Pastoor Duckweilerweg,Eys
6287AP,1,,Pastoor Duckweilerweg,Eys
6287AN,4,,Zwarte Brugweg,Eys
6287AN,2,,Zwarte Brugweg,Eys
6287AM,32,,Wezelderweg,Eys
6287AM,30,,Wezelderweg,Eys
6287AM,28,,Wezelderweg,Eys
6287AM,26,,Wezelderweg,Eys
6287AM,24,,Wezelderweg,Eys
6287AM,22,,Wezelderweg,Eys
6287AM,20,,Wezelderweg,Eys
6287AM,18,,Wezelderweg,Eys
6287AM,16,,Wezelderweg,Eys
6287AM,12,,Wezelderweg,Eys
6287AM,10,,Wezelderweg,Eys
6287AM,8,,Wezelderweg,Eys
6287AM,6,,Wezelderweg,Eys
6287AM,4,,Wezelderweg,Eys
6287AL,23,,Wezelderweg,Eys
6287AL,21,,Wezelderweg,Eys
6287AL,19,,Wezelderweg,Eys
6287AL,17,,Wezelderweg,Eys
6287AL,15,,Wezelderweg,Eys
6287AL,11,,Wezelderweg,Eys
6287AL,9,,Wezelderweg,Eys
6287NG,6,,Hamerstraat,Eys
6287NG,5,,Hamerstraat,Eys
6287NG,3,,Hamerstraat,Eys
6287NG,2,,Hamerstraat,Eys
6287NG,1,,Hamerstraat,Eys
6287NE,34,,Eyserweg,Eys
6287NE,32,,Eyserweg,Eys
6287NE,28,,Eyserweg,Eys
6287NE,26,,Eyserweg,Eys
6287NE,24,,Eyserweg,Eys
6287NE,22,,Eyserweg,Eys
6286CB,2,,Kerkstraat,Wittem
6286CA,31,,Kerkstraat,Wittem
6286CA,29,,Kerkstraat,Wittem
6286CA,27,,Kerkstraat,Wittem
6286CA,25,,Kerkstraat,Wittem
6286CA,19,,Kerkstraat,Wittem
6286CA,17,,Kerkstraat,Wittem
6286CA,15,,Kerkstraat,Wittem
6286CA,13,,Kerkstraat,Wittem
6286CA,11,,Kerkstraat,Wittem
6286CA,9,,Kerkstraat,Wittem
6286CA,7,,Kerkstraat,Wittem
6286CA,5,,Kerkstraat,Wittem
6286CA,3,,Kerkstraat,Wittem
6286CA,1,,Kerkstraat,Wittem
6286BZ,25,,Aad de Haasstraat,Wittem
6287CN,47,,Lodewijk XIV straat,Eys
6287CN,45,,Lodewijk XIV straat,Eys
6287CN,43,,Lodewijk XIV straat,Eys
6287CL,41,,Lodewijk XIV straat,Eys
6287CL,39,,Lodewijk XIV straat,Eys
6287CL,37,,Lodewijk XIV straat,Eys
6321BS,1,,Antoon Coolenstraat,Wijlre
6287CL,35,,Lodewijk XIV straat,Eys
6287CL,33,,Lodewijk XIV straat,Eys
6287CL,31,,Lodewijk XIV straat,Eys
6287CL,29,,Lodewijk XIV straat,Eys
6287CL,27,,Lodewijk XIV straat,Eys
6287CL,25,,Lodewijk XIV straat,Eys
6287CL,23,,Lodewijk XIV straat,Eys
6287CL,21,,Lodewijk XIV straat,Eys
6287CL,19,,Lodewijk XIV straat,Eys
6287CL,17,,Lodewijk XIV straat,Eys
6287CL,15,,Lodewijk XIV straat,Eys
6287CL,13,,Lodewijk XIV straat,Eys
6287CL,11,,Lodewijk XIV straat,Eys
6287CL,9,,Lodewijk XIV straat,Eys
6287CL,7,,Lodewijk XIV straat,Eys
6287CL,5,,Lodewijk XIV straat,Eys
6287CL,3,,Lodewijk XIV straat,Eys
6287CL,1,,Lodewijk XIV straat,Eys
6287CK,54,,Lodewijk XIV straat,Eys
6287CK,52,,Lodewijk XIV straat,Eys
6287CK,50,,Lodewijk XIV straat,Eys
6287CK,48,,Lodewijk XIV straat,Eys
6287CK,46,,Lodewijk XIV straat,Eys
6287CK,44,,Lodewijk XIV straat,Eys
6287CK,42,,Lodewijk XIV straat,Eys
6287CK,40,,Lodewijk XIV straat,Eys
6287CK,38,,Lodewijk XIV straat,Eys
6287CK,36,,Lodewijk XIV straat,Eys
6287CK,32,,Lodewijk XIV straat,Eys
6287CK,30,,Lodewijk XIV straat,Eys
6287CK,26,,Lodewijk XIV straat,Eys
6287CK,24,,Lodewijk XIV straat,Eys
6287CK,22,,Lodewijk XIV straat,Eys
6287CK,20,,Lodewijk XIV straat,Eys
6287CK,18,,Lodewijk XIV straat,Eys
6287CK,14,,Lodewijk XIV straat,Eys
6287CK,12,,Lodewijk XIV straat,Eys
6287CK,10,,Lodewijk XIV straat,Eys
6287CK,8,,Lodewijk XIV straat,Eys
6287CK,6,,Lodewijk XIV straat,Eys
6287CK,2,,Lodewijk XIV straat,Eys
6287CJ,10,,Hanzonstraat,Eys
6287CJ,8,,Hanzonstraat,Eys
6287CJ,7,,Hanzonstraat,Eys
6287CJ,6,,Hanzonstraat,Eys
6287CJ,4,,Hanzonstraat,Eys
6287CJ,3,,Hanzonstraat,Eys
6287CJ,2,,Hanzonstraat,Eys
6287CJ,1,,Hanzonstraat,Eys
6287CH,26,,Op de Kamp,Eys
6286BS,11,,Westhoek,Wittem
6286BS,10,,Westhoek,Wittem
6286BS,9,,Westhoek,Wittem
6287NE,20,,Eyserweg,Eys
6287NE,18,,Eyserweg,Eys
6287NE,16,,Eyserweg,Eys
6287NE,14,,Eyserweg,Eys
6287NE,12,,Eyserweg,Eys
6287NE,10,,Eyserweg,Eys
6287NE,8,,Eyserweg,Eys
6287NE,6,,Eyserweg,Eys
6287NE,4,,Eyserweg,Eys
6287NE,2,,Eyserweg,Eys
6287ND,25,,Eyserweg,Eys
6287ND,23,,Eyserweg,Eys
6287ND,21,,Eyserweg,Eys
6287ND,19,,Eyserweg,Eys
6287ND,17,,Eyserweg,Eys
6321BS,10,,Antoon Coolenstraat,Wijlre
6321BS,3,,Antoon Coolenstraat,Wijlre
6321BR,20,,Jan van Houtemstraat,Wijlre
6321BR,19,,Jan van Houtemstraat,Wijlre
6321BR,17,,Jan van Houtemstraat,Wijlre
6321BR,16,,Jan van Houtemstraat,Wijlre
6321BR,15,,Jan van Houtemstraat,Wijlre
6321BR,14,,Jan van Houtemstraat,Wijlre
6321BR,13,,Jan van Houtemstraat,Wijlre
6321BR,12,,Jan van Houtemstraat,Wijlre
6321BR,11,,Jan van Houtemstraat,Wijlre
6321BR,10,,Jan van Houtemstraat,Wijlre
6321BR,9,,Jan van Houtemstraat,Wijlre
6321BR,6,,Jan van Houtemstraat,Wijlre
6321BR,5,,Jan van Houtemstraat,Wijlre
6321BR,4,,Jan van Houtemstraat,Wijlre
6321BR,3,,Jan van Houtemstraat,Wijlre
6321BR,2,,Jan van Houtemstraat,Wijlre
6321BP,12,,Industrieweg,Wijlre
6321BP,11,,Industrieweg,Wijlre
6321BP,10,,Industrieweg,Wijlre
6321BP,9,,Industrieweg,Wijlre
6321BP,8,,Industrieweg,Wijlre
6321BP,6,,Industrieweg,Wijlre
6321BP,5,,Industrieweg,Wijlre
6321BP,4,,Industrieweg,Wijlre
6321BP,3,,Industrieweg,Wijlre
6321BP,2,,Industrieweg,Wijlre
6321BP,1,,Industrieweg,Wijlre
6321BL,14,,Elkenraderweg,Wijlre
6321BL,12,,Elkenraderweg,Wijlre
6321BL,10,,Elkenraderweg,Wijlre
6321BL,8,,Elkenraderweg,Wijlre
6321BK,9,,Elkenraderweg,Wijlre
6321BK,7,,Elkenraderweg,Wijlre
6321BK,5,,Elkenraderweg,Wijlre
6321BK,3,,Elkenraderweg,Wijlre
6321BK,1,,Elkenraderweg,Wijlre
6321BJ,36,,Piet van Breemenstraat,Wijlre
6321BJ,34,,Piet van Breemenstraat,Wijlre
6321BJ,32,,Piet van Breemenstraat,Wijlre
6321BJ,30,,Piet van Breemenstraat,Wijlre
6321BJ,28,,Piet van Breemenstraat,Wijlre
6321BJ,26,,Piet van Breemenstraat,Wijlre
6321BJ,24,,Piet van Breemenstraat,Wijlre
6321BJ,22,,Piet van Breemenstraat,Wijlre
6321BJ,20,,Piet van Breemenstraat,Wijlre
6321BJ,18,,Piet van Breemenstraat,Wijlre
6321BJ,16,,Piet van Breemenstraat,Wijlre
6321BJ,14,,Piet van Breemenstraat,Wijlre
6321BJ,12,,Piet van Breemenstraat,Wijlre
6321BJ,10,,Piet van Breemenstraat,Wijlre
6321BJ,8,,Piet van Breemenstraat,Wijlre
6321BJ,6,,Piet van Breemenstraat,Wijlre
6321BJ,4,,Piet van Breemenstraat,Wijlre
6321BJ,2,,Piet van Breemenstraat,Wijlre
6321BH,15,,Piet van Breemenstraat,Wijlre
6321BH,13,,Piet van Breemenstraat,Wijlre
6321BH,11,,Piet van Breemenstraat,Wijlre
6321BH,9,,Piet van Breemenstraat,Wijlre
6321BH,7,,Piet van Breemenstraat,Wijlre
6321BH,3,,Piet van Breemenstraat,Wijlre
6321BG,26,,Van Wachtendonckplein,Wijlre
6321BG,20,,Van Wachtendonckplein,Wijlre
6321BG,18,,Van Wachtendonckplein,Wijlre
6321BG,16,,Van Wachtendonckplein,Wijlre
6321BG,12,,Van Wachtendonckplein,Wijlre
6321BG,8,,Van Wachtendonckplein,Wijlre
6321BG,6,,Van Wachtendonckplein,Wijlre
6321BG,4,,Van Wachtendonckplein,Wijlre
6321BE,37,,Van Wachtendonckplein,Wijlre
6321BE,35,,Van Wachtendonckplein,Wijlre
6321BE,33,,Van Wachtendonckplein,Wijlre
6321BE,31,,Van Wachtendonckplein,Wijlre
6321BE,29,,Van Wachtendonckplein,Wijlre
6321BE,25,,Van Wachtendonckplein,Wijlre
6321BE,23,,Van Wachtendonckplein,Wijlre
6321BE,21,,Van Wachtendonckplein,Wijlre
6321BE,19,,Van Wachtendonckplein,Wijlre
6321BE,17,,Van Wachtendonckplein,Wijlre
6321BE,13,,Van Wachtendonckplein,Wijlre
6321BE,11,,Van Wachtendonckplein,Wijlre
6321BE,9,,Van Wachtendonckplein,Wijlre
6321BE,7,,Van Wachtendonckplein,Wijlre
6321BE,5,,Van Wachtendonckplein,Wijlre
6321BE,3,,Van Wachtendonckplein,Wijlre
6321BE,1,,Van Wachtendonckplein,Wijlre
6321BD,10,,Stationsweg,Wijlre
6321BD,8,,Stationsweg,Wijlre
6321BD,7,,Stationsweg,Wijlre
6321BD,4,,Stationsweg,Wijlre
6321BD,2,,Stationsweg,Wijlre
6321BD,1,,Stationsweg,Wijlre
6321BC,52,,Parallelweg,Wijlre
6321BC,50,,Parallelweg,Wijlre
6321BC,48,,Parallelweg,Wijlre
6321BC,46,,Parallelweg,Wijlre
6321BC,40,,Parallelweg,Wijlre
6321BC,38,,Parallelweg,Wijlre
6321BC,36,,Parallelweg,Wijlre
6321BC,34,,Parallelweg,Wijlre
6321BC,32,,Parallelweg,Wijlre
6321BC,30,,Parallelweg,Wijlre
6321BC,28,,Parallelweg,Wijlre
6321BC,26,,Parallelweg,Wijlre
6321BC,24,,Parallelweg,Wijlre
6321BB,20,,Parallelweg,Wijlre
6321BB,18,,Parallelweg,Wijlre
6321BB,16,,Parallelweg,Wijlre
6321BB,14,,Parallelweg,Wijlre
6321BB,12,,Parallelweg,Wijlre
6321BB,10,,Parallelweg,Wijlre
6321BB,8,,Parallelweg,Wijlre
6321BB,6,,Parallelweg,Wijlre
6321BB,4,,Parallelweg,Wijlre
6321BA,13,,Parallelweg,Wijlre
6321BA,11,,Parallelweg,Wijlre
6321BA,9,,Parallelweg,Wijlre
6321AW,24,,Scheyffart van Merodelaan,Wijlre
6321AW,22,,Scheyffart van Merodelaan,Wijlre
6321AW,18,,Scheyffart van Merodelaan,Wijlre
6321AW,16,,Scheyffart van Merodelaan,Wijlre
6321AW,14,,Scheyffart van Merodelaan,Wijlre
6321AW,13,,Scheyffart van Merodelaan,Wijlre
6321AW,12,,Scheyffart van Merodelaan,Wijlre
6321AW,11,,Scheyffart van Merodelaan,Wijlre
6321AW,10,,Scheyffart van Merodelaan,Wijlre
6321AW,9,,Scheyffart van Merodelaan,Wijlre
6321AW,8,,Scheyffart van Merodelaan,Wijlre
6321AW,7,,Scheyffart van Merodelaan,Wijlre
6321AW,6,,Scheyffart van Merodelaan,Wijlre
6321AW,5,,Scheyffart van Merodelaan,Wijlre
6321AW,3,,Scheyffart van Merodelaan,Wijlre
6321AW,2,,Scheyffart van Merodelaan,Wijlre
6321AW,1,,Scheyffart van Merodelaan,Wijlre
6321AV,17,,Leienhuisweg,Wijlre
6289NB,27,,Elkenrade,Elkenrade
6289NB,26,,Elkenrade,Elkenrade
6289NB,25,,Elkenrade,Elkenrade
6289NB,24,,Elkenrade,Elkenrade
6289NB,22,,Elkenrade,Elkenrade
6289NB,21,,Elkenrade,Elkenrade
6289NB,20,,Elkenrade,Elkenrade
6289NB,19,,Elkenrade,Elkenrade
6289NB,18,,Elkenrade,Elkenrade
6289NB,16,,Elkenrade,Elkenrade
6289NB,15,,Elkenrade,Elkenrade
6289NB,14,,Elkenrade,Elkenrade
6289NB,13,,Elkenrade,Elkenrade
6289NB,12,,Elkenrade,Elkenrade
6289NA,10,,Elkenrade,Elkenrade
6289NA,9,,Elkenrade,Elkenrade
6289NA,8,,Elkenrade,Elkenrade
6289NA,7,,Elkenrade,Elkenrade
6289NA,6,,Elkenrade,Elkenrade
6289NA,4,,Elkenrade,Elkenrade
6289NA,3,,Elkenrade,Elkenrade
6289NA,2,,Elkenrade,Elkenrade
6289NA,1,,Elkenrade,Elkenrade
6287NK,6,,Vrouwenheide,Eys
6287NK,4,,Vrouwenheide,Eys
6287NK,2,,Vrouwenheide,Eys
6287BD,1,,Leeuwerikstraat,Eys
6287BC,33,,In der Bend,Eys
6287BC,31,,In der Bend,Eys
6287BC,29,,In der Bend,Eys
6287BC,27,,In der Bend,Eys
6287BC,25,,In der Bend,Eys
6287BC,23,,In der Bend,Eys
6287BC,21,,In der Bend,Eys
6287BC,19,,In der Bend,Eys
6287BC,17,,In der Bend,Eys
6287BC,15,,In der Bend,Eys
6287BC,13,,In der Bend,Eys
6287BC,11,,In der Bend,Eys
6287BC,9,,In der Bend,Eys
6287BC,7,,In der Bend,Eys
6287BC,5,,In der Bend,Eys
6287BC,3,,In der Bend,Eys
6287BB,28,,Kanariestraat,Eys
6287BB,26,,Kanariestraat,Eys
6287BB,24,,Kanariestraat,Eys
6287BB,22,,Kanariestraat,Eys
6287BB,20,,Kanariestraat,Eys
6287BB,18,,Kanariestraat,Eys
6287BB,16,,Kanariestraat,Eys
6287BB,14,,Kanariestraat,Eys
6287BB,12,,Kanariestraat,Eys
6287BB,10,,Kanariestraat,Eys
6287BB,8,,Kanariestraat,Eys
6287BB,6,,Kanariestraat,Eys
6287BB,4,,Kanariestraat,Eys
6287BB,2,,Kanariestraat,Eys
6287BB,1,,Kanariestraat,Eys
6287BA,11,,Lijsterstraat,Eys
6287BA,9,,Lijsterstraat,Eys
6287BA,7,,Lijsterstraat,Eys
6287BA,5,,Lijsterstraat,Eys
6287BA,3,,Lijsterstraat,Eys
6287BA,1,,Lijsterstraat,Eys
6287AX,21,,Nachtegaalstraat,Eys
6287AX,19,,Nachtegaalstraat,Eys
6287AX,17,,Nachtegaalstraat,Eys
6287AX,15,,Nachtegaalstraat,Eys
