9675KH,1,,Vossenburcht,Winschoten
8064AE,44,,Buitenkwartier,Zwartsluis
8064AE,40,,Buitenkwartier,Zwartsluis
8064AE,38,,Buitenkwartier,Zwartsluis
8064AE,36,,Buitenkwartier,Zwartsluis
8064AE,34,,Buitenkwartier,Zwartsluis
8064AE,30,,Buitenkwartier,Zwartsluis
8064AE,28,,Buitenkwartier,Zwartsluis
8064AG,56,,Buitenkwartier,Zwartsluis
8064AB,1,,Buitenkwartier,Zwartsluis
8064AC,33,,Buitenkwartier,Zwartsluis
8064AB,11,,Buitenkwartier,Zwartsluis
8064AB,15,,Buitenkwartier,Zwartsluis
8064AC,43,,Buitenkwartier,Zwartsluis
8064AC,41,,Buitenkwartier,Zwartsluis
8064AC,39,,Buitenkwartier,Zwartsluis
8064AC,37,,Buitenkwartier,Zwartsluis
8064AG,86,,Buitenkwartier,Zwartsluis
8064AG,84,,Buitenkwartier,Zwartsluis
8064AG,82,,Buitenkwartier,Zwartsluis
8064AG,80,,Buitenkwartier,Zwartsluis
8064AG,78,,Buitenkwartier,Zwartsluis
8064AD,75,,Buitenkwartier,Zwartsluis
8064AD,73,,Buitenkwartier,Zwartsluis
8064AD,71,,Buitenkwartier,Zwartsluis
8064AD,69,,Buitenkwartier,Zwartsluis
8064AD,67,,Buitenkwartier,Zwartsluis
8064AD,65,,Buitenkwartier,Zwartsluis
8064AD,63,,Buitenkwartier,Zwartsluis
8064AD,61,,Buitenkwartier,Zwartsluis
8064AD,87,,Buitenkwartier,Zwartsluis
8064AD,85,,Buitenkwartier,Zwartsluis
8064AD,83,,Buitenkwartier,Zwartsluis
8064AD,81,,Buitenkwartier,Zwartsluis
8064AD,79,,Buitenkwartier,Zwartsluis
8064AD,77,,Buitenkwartier,Zwartsluis
8064AC,59,,Buitenkwartier,Zwartsluis
8064AC,57,,Buitenkwartier,Zwartsluis
8064AC,55,,Buitenkwartier,Zwartsluis
8064AC,53,,Buitenkwartier,Zwartsluis
8064AC,51,,Buitenkwartier,Zwartsluis
8064AC,49,,Buitenkwartier,Zwartsluis
8064AC,47,,Buitenkwartier,Zwartsluis
8064AC,45,,Buitenkwartier,Zwartsluis
8064AG,76,,Buitenkwartier,Zwartsluis
8064AG,74,,Buitenkwartier,Zwartsluis
8064AG,72,,Buitenkwartier,Zwartsluis
8064AG,70,,Buitenkwartier,Zwartsluis
8064AG,68,,Buitenkwartier,Zwartsluis
8064AG,52,,Buitenkwartier,Zwartsluis
8064AG,50,,Buitenkwartier,Zwartsluis
8064AC,31,,Buitenkwartier,Zwartsluis
8064AB,25,,Buitenkwartier,Zwartsluis
8064AB,29,,Buitenkwartier,Zwartsluis
8064AB,27,,Buitenkwartier,Zwartsluis
8064AB,23,,Buitenkwartier,Zwartsluis
8064AB,21,,Buitenkwartier,Zwartsluis
8064AB,19,,Buitenkwartier,Zwartsluis
8064AB,17,,Buitenkwartier,Zwartsluis
8064AG,48,,Buitenkwartier,Zwartsluis
8064AD,95,,Buitenkwartier,Zwartsluis
8064AD,101,,Buitenkwartier,Zwartsluis
8064AD,99,,Buitenkwartier,Zwartsluis
8064AD,97,,Buitenkwartier,Zwartsluis
8064AD,93,,Buitenkwartier,Zwartsluis
8064AD,91,,Buitenkwartier,Zwartsluis
8064AD,89,,Buitenkwartier,Zwartsluis
8064AB,13,,Buitenkwartier,Zwartsluis
8064AB,9,,Buitenkwartier,Zwartsluis
8064AB,3,,Buitenkwartier,Zwartsluis
8064AB,7,,Buitenkwartier,Zwartsluis
8064AB,5,,Buitenkwartier,Zwartsluis
8064CN,20,,Buizerdstraat,Zwartsluis
8064CN,51,,Buizerdstraat,Zwartsluis
8064CN,49,,Buizerdstraat,Zwartsluis
8064CN,47,,Buizerdstraat,Zwartsluis
8064CN,45,,Buizerdstraat,Zwartsluis
8064CN,43,,Buizerdstraat,Zwartsluis
8064CN,41,,Buizerdstraat,Zwartsluis
8064CN,39,,Buizerdstraat,Zwartsluis
8064CN,37,,Buizerdstraat,Zwartsluis
8064CN,35,,Buizerdstraat,Zwartsluis
8064CN,33,,Buizerdstraat,Zwartsluis
8064CN,31,,Buizerdstraat,Zwartsluis
8064CN,29,,Buizerdstraat,Zwartsluis
8064CN,27,,Buizerdstraat,Zwartsluis
8064CN,25,,Buizerdstraat,Zwartsluis
8064CN,23,,Buizerdstraat,Zwartsluis
8064CN,21,,Buizerdstraat,Zwartsluis
8064CN,19,,Buizerdstraat,Zwartsluis
8064CN,17,,Buizerdstraat,Zwartsluis
8064CN,15,,Buizerdstraat,Zwartsluis
8064CN,13,,Buizerdstraat,Zwartsluis
8064CN,11,,Buizerdstraat,Zwartsluis
8064CN,1,,Buizerdstraat,Zwartsluis
8064CN,3,,Buizerdstraat,Zwartsluis
8064CN,5,,Buizerdstraat,Zwartsluis
8064CN,9,,Buizerdstraat,Zwartsluis
8064CN,7,,Buizerdstraat,Zwartsluis
8064CN,16,,Buizerdstraat,Zwartsluis
8064CN,18,,Buizerdstraat,Zwartsluis
8064CN,4,,Buizerdstraat,Zwartsluis
8064CN,6,,Buizerdstraat,Zwartsluis
8064CN,8,,Buizerdstraat,Zwartsluis
8064CN,10,,Buizerdstraat,Zwartsluis
8064CN,12,,Buizerdstraat,Zwartsluis
8061LZ,20,,Bunthaak,Hasselt
8061LZ,22,,Bunthaak,Hasselt
8061LZ,24,,Bunthaak,Hasselt
8061LZ,76,,Bunthaak,Hasselt
8061LZ,72,,Bunthaak,Hasselt
8061LZ,54,,Bunthaak,Hasselt
8061LZ,56,,Bunthaak,Hasselt
8061LZ,58,,Bunthaak,Hasselt
8061LZ,60,,Bunthaak,Hasselt
8061LZ,62,,Bunthaak,Hasselt
8061LZ,64,,Bunthaak,Hasselt
8061LZ,66,,Bunthaak,Hasselt
8061LZ,68,,Bunthaak,Hasselt
8061LZ,70,,Bunthaak,Hasselt
8061LZ,46,,Bunthaak,Hasselt
8061LZ,44,,Bunthaak,Hasselt
8061LZ,42,,Bunthaak,Hasselt
8061LZ,40,,Bunthaak,Hasselt
8061LZ,28,,Bunthaak,Hasselt
8061LZ,38,,Bunthaak,Hasselt
8061LZ,36,,Bunthaak,Hasselt
8061LZ,34,,Bunthaak,Hasselt
8061LZ,32,,Bunthaak,Hasselt
8061LZ,30,,Bunthaak,Hasselt
8061LZ,6,,Bunthaak,Hasselt
8061LZ,4,,Bunthaak,Hasselt
8061LZ,2,,Bunthaak,Hasselt
8061LZ,18,,Bunthaak,Hasselt
8061LZ,16,,Bunthaak,Hasselt
8061LZ,14,,Bunthaak,Hasselt
8061LZ,12,,Bunthaak,Hasselt
8061LZ,10,,Bunthaak,Hasselt
8061LZ,8,,Bunthaak,Hasselt
8061LZ,48,,Bunthaak,Hasselt
8061LZ,50,,Bunthaak,Hasselt
8061LZ,52,,Bunthaak,Hasselt
8061LZ,74,,Bunthaak,Hasselt
8061LZ,26,,Bunthaak,Hasselt
8061AK,12,,Burg Malcorpslaan,Hasselt
8061AG,5,,Burg Malcorpslaan,Hasselt
8061AK,6,,Burg Malcorpslaan,Hasselt
8061AK,8,,Burg Malcorpslaan,Hasselt
8061AK,10,,Burg Malcorpslaan,Hasselt
8061AG,3,,Burg Malcorpslaan,Hasselt
8061AH,23,,Burg Malcorpslaan,Hasselt
8061AH,25,,Burg Malcorpslaan,Hasselt
8061AH,27,,Burg Malcorpslaan,Hasselt
8061AH,29,,Burg Malcorpslaan,Hasselt
8061AH,31,,Burg Malcorpslaan,Hasselt
8061AH,33,,Burg Malcorpslaan,Hasselt
8061AH,35,,Burg Malcorpslaan,Hasselt
8061AH,37,,Burg Malcorpslaan,Hasselt
8061AH,39,,Burg Malcorpslaan,Hasselt
8061AH,41,,Burg Malcorpslaan,Hasselt
8061AH,43,,Burg Malcorpslaan,Hasselt
8061AH,45,,Burg Malcorpslaan,Hasselt
8061AJ,47,,Burg Malcorpslaan,Hasselt
8061AJ,49,,Burg Malcorpslaan,Hasselt
8061AJ,51,,Burg Malcorpslaan,Hasselt
8061AJ,53,,Burg Malcorpslaan,Hasselt
8061AJ,55,,Burg Malcorpslaan,Hasselt
8061AJ,57,,Burg Malcorpslaan,Hasselt
8061AJ,59,,Burg Malcorpslaan,Hasselt
8061AJ,61,,Burg Malcorpslaan,Hasselt
8061AJ,63,,Burg Malcorpslaan,Hasselt
8061AJ,65,,Burg Malcorpslaan,Hasselt
8061AJ,67,,Burg Malcorpslaan,Hasselt
8061AJ,69,,Burg Malcorpslaan,Hasselt
8061AJ,71,,Burg Malcorpslaan,Hasselt
8061AJ,73,,Burg Malcorpslaan,Hasselt
8061AJ,75,,Burg Malcorpslaan,Hasselt
8061AJ,77,,Burg Malcorpslaan,Hasselt
8061AJ,79,,Burg Malcorpslaan,Hasselt
8061AJ,81,,Burg Malcorpslaan,Hasselt
8061AJ,99,,Burg Malcorpslaan,Hasselt
8061AJ,101,,Burg Malcorpslaan,Hasselt
8061AG,11,,Burg Malcorpslaan,Hasselt
8061AG,7,,Burg Malcorpslaan,Hasselt
8061AK,26,,Burg Malcorpslaan,Hasselt
8061AK,24,,Burg Malcorpslaan,Hasselt
8061AK,22,,Burg Malcorpslaan,Hasselt
8061AK,20,,Burg Malcorpslaan,Hasselt
8061AK,18,,Burg Malcorpslaan,Hasselt
8061AK,16,,Burg Malcorpslaan,Hasselt
8061AG,1,,Burg Malcorpslaan,Hasselt
8061AG,9,,Burg Malcorpslaan,Hasselt
8061AG,21,,Burg Malcorpslaan,Hasselt
8061AG,19,,Burg Malcorpslaan,Hasselt
8061AG,17,,Burg Malcorpslaan,Hasselt
8061AG,15,,Burg Malcorpslaan,Hasselt
8061AG,13,,Burg Malcorpslaan,Hasselt
8061AK,14,,Burg Malcorpslaan,Hasselt
8281ZT,36,,Burg ten Veldestr,Genemuiden
8281ZS,2,,Burg ten Veldestr,Genemuiden
8281ZN,1,,Burg ten Veldestr,Genemuiden
8281ZN,3,,Burg ten Veldestr,Genemuiden
8281ZN,5,,Burg ten Veldestr,Genemuiden
8281ZN,9,,Burg ten Veldestr,Genemuiden
8281ZN,13,,Burg ten Veldestr,Genemuiden
8281ZN,17,,Burg ten Veldestr,Genemuiden
8281ZP,49,,Burg ten Veldestr,Genemuiden
8281ZP,47,,Burg ten Veldestr,Genemuiden
8281ZP,45,,Burg ten Veldestr,Genemuiden
8281ZN,43,,Burg ten Veldestr,Genemuiden
8281ZN,41,,Burg ten Veldestr,Genemuiden
8281ZN,39,,Burg ten Veldestr,Genemuiden
8281ZN,37,,Burg ten Veldestr,Genemuiden
8281ZN,35,,Burg ten Veldestr,Genemuiden
8281ZP,81,,Burg ten Veldestr,Genemuiden
8281ZP,79,,Burg ten Veldestr,Genemuiden
8281ZP,77,,Burg ten Veldestr,Genemuiden
8281ZP,75,,Burg ten Veldestr,Genemuiden
8281ZP,73,,Burg ten Veldestr,Genemuiden
8281ZP,71,,Burg ten Veldestr,Genemuiden
8281ZP,69,,Burg ten Veldestr,Genemuiden
8281ZP,67,,Burg ten Veldestr,Genemuiden
8281ZT,52,,Burg ten Veldestr,Genemuiden
8281ZT,50,,Burg ten Veldestr,Genemuiden
8281ZT,48,,Burg ten Veldestr,Genemuiden
8281ZT,46,,Burg ten Veldestr,Genemuiden
8281ZT,44,,Burg ten Veldestr,Genemuiden
8281ZT,42,,Burg ten Veldestr,Genemuiden
8281ZT,38,,Burg ten Veldestr,Genemuiden
8281ZT,34,,Burg ten Veldestr,Genemuiden
8281ZT,32,,Burg ten Veldestr,Genemuiden
8281ZT,30,,Burg ten Veldestr,Genemuiden
8281ZT,28,,Burg ten Veldestr,Genemuiden
8281ZT,26,,Burg ten Veldestr,Genemuiden
8281ZS,24,,Burg ten Veldestr,Genemuiden
8281ZS,22,,Burg ten Veldestr,Genemuiden
8281ZS,20,,Burg ten Veldestr,Genemuiden
8281ZS,18,,Burg ten Veldestr,Genemuiden
8281ZS,16,,Burg ten Veldestr,Genemuiden
8281ZS,14,,Burg ten Veldestr,Genemuiden
8281ZS,12,,Burg ten Veldestr,Genemuiden
8281ZS,8,,Burg ten Veldestr,Genemuiden
8281ZS,6,,Burg ten Veldestr,Genemuiden
8281ZS,4,,Burg ten Veldestr,Genemuiden
8281ZR,107,,Burg ten Veldestr,Genemuiden
8281ZR,105,,Burg ten Veldestr,Genemuiden
8281ZR,103,,Burg ten Veldestr,Genemuiden
8281ZR,101,,Burg ten Veldestr,Genemuiden
8281ZR,99,,Burg ten Veldestr,Genemuiden
8281ZR,97,,Burg ten Veldestr,Genemuiden
8281ZR,95,,Burg ten Veldestr,Genemuiden
8281ZR,93,,Burg ten Veldestr,Genemuiden
8281ZR,91,,Burg ten Veldestr,Genemuiden
8281ZR,89,,Burg ten Veldestr,Genemuiden
8281ZR,87,,Burg ten Veldestr,Genemuiden
8281ZR,85,,Burg ten Veldestr,Genemuiden
8281ZR,83,,Burg ten Veldestr,Genemuiden
8281ZP,65,,Burg ten Veldestr,Genemuiden
8281ZP,63,,Burg ten Veldestr,Genemuiden
8281ZP,61,,Burg ten Veldestr,Genemuiden
8281ZP,59,,Burg ten Veldestr,Genemuiden
8281ZP,57,,Burg ten Veldestr,Genemuiden
8281ZP,55,,Burg ten Veldestr,Genemuiden
8281ZP,53,,Burg ten Veldestr,Genemuiden
8281ZP,51,,Burg ten Veldestr,Genemuiden
8281ZN,33,,Burg ten Veldestr,Genemuiden
8281ZN,31,,Burg ten Veldestr,Genemuiden
8281ZN,29,,Burg ten Veldestr,Genemuiden
8281ZN,27,,Burg ten Veldestr,Genemuiden
8281ZN,25,,Burg ten Veldestr,Genemuiden
8281ZN,23,,Burg ten Veldestr,Genemuiden
8281ZN,21,,Burg ten Veldestr,Genemuiden
8281ZN,19,,Burg ten Veldestr,Genemuiden
8281ZN,15,,Burg ten Veldestr,Genemuiden
8281ZN,11,,Burg ten Veldestr,Genemuiden
8281ZN,7,,Burg ten Veldestr,Genemuiden
8061GE,1,,Burgemeester Royerplein,Hasselt
8061GE,7,,Burgemeester Royerplein,Hasselt
8061GE,9,,Burgemeester Royerplein,Hasselt
8061GE,5,,Burgemeester Royerplein,Hasselt
8061GE,3,,Burgemeester Royerplein,Hasselt
8061GE,11,,Burgemeester Royerplein,Hasselt
8061GE,15,,Burgemeester Royerplein,Hasselt
8061GE,8,,Burgemeester Royerplein,Hasselt
8061GE,6,,Burgemeester Royerplein,Hasselt
8061GE,4,,Burgemeester Royerplein,Hasselt
8061GE,2,,Burgemeester Royerplein,Hasselt
8061GE,17,,Burgemeester Royerplein,Hasselt
8061GE,13,,Burgemeester Royerplein,Hasselt
8281XD,3,,Buzenland,Genemuiden
8281XD,2,,Buzenland,Genemuiden
8281XD,4,,Buzenland,Genemuiden
8281XD,1,,Buzenland,Genemuiden
8281PX,7,,Cellemuiden,Genemuiden
8281PX,13,,Cellemuiden,Genemuiden
8281PX,14,,Cellemuiden,Genemuiden
8281PX,1,,Cellemuiden,Genemuiden
8281PX,11,,Cellemuiden,Genemuiden
8281PX,17,,Cellemuiden,Genemuiden
8281PX,2,,Cellemuiden,Genemuiden
8281PX,6,,Cellemuiden,Genemuiden
8281PX,20,,Cellemuiden,Genemuiden
8281PX,18,,Cellemuiden,Genemuiden
8281PX,16,,Cellemuiden,Genemuiden
8281PX,12,,Cellemuiden,Genemuiden
8281PX,10,,Cellemuiden,Genemuiden
8281PX,8,,Cellemuiden,Genemuiden
8281PX,4,,Cellemuiden,Genemuiden
8281PX,19,,Cellemuiden,Genemuiden
8281PX,15,,Cellemuiden,Genemuiden
8281PX,9,,Cellemuiden,Genemuiden
8281PX,3,,Cellemuiden,Genemuiden
8281PX,5,,Cellemuiden,Genemuiden
8061RR,40,,Cellemuiden,Hasselt
8061RR,28,,Cellemuiden,Hasselt
8061RR,48,,Cellemuiden,Hasselt
8061RT,24,,Cellemuiden,Hasselt
8061RR,24,,Cellemuiden,Hasselt
8061RT,38,,Cellemuiden,Hasselt
8061RR,38,,Cellemuiden,Hasselt
8061RT,43,,Cellemuiden,Hasselt
8061RR,30,,Cellemuiden,Hasselt
8061RT,47,,Cellemuiden,Hasselt
8061RT,45,,Cellemuiden,Hasselt
8061RT,25,,Cellemuiden,Hasselt
8061RS,23,,Cellemuiden,Hasselt
8061RS,21,,Cellemuiden,Hasselt
8061RR,46,,Cellemuiden,Hasselt
8061RR,44,,Cellemuiden,Hasselt
8061RR,42,,Cellemuiden,Hasselt
8061RR,36,,Cellemuiden,Hasselt
8061RR,34,,Cellemuiden,Hasselt
8061RR,32,,Cellemuiden,Hasselt
8061RT,41,,Cellemuiden,Hasselt
8061RT,39,,Cellemuiden,Hasselt
8061RT,37,,Cellemuiden,Hasselt
8061RT,35,,Cellemuiden,Hasselt
8061RT,33,,Cellemuiden,Hasselt
8061RT,31,,Cellemuiden,Hasselt
8061RT,29,,Cellemuiden,Hasselt
8061RT,27,,Cellemuiden,Hasselt
8061RR,26,,Cellemuiden,Hasselt
8064DC,1,,Cingellanden,Zwartsluis
8064PP,1,,Conradsweg,Zwartsluis
8064PP,2,,Conradsweg,Zwartsluis
8064PP,5,,Conradsweg,Zwartsluis
8064PP,7,,Conradsweg,Zwartsluis
8064PP,4,,Conradsweg,Zwartsluis
8064PP,8,,Conradsweg,Zwartsluis
8064PP,10,,Conradsweg,Zwartsluis
8064PP,6,,Conradsweg,Zwartsluis
8281DK,1,,d'Akkerties,Genemuiden
8281DK,5,,d'Akkerties,Genemuiden
8281DK,2,,d'Akkerties,Genemuiden
8281DK,6,,d'Akkerties,Genemuiden
8281DK,10,,d'Akkerties,Genemuiden
8281DK,14,,d'Akkerties,Genemuiden
8281DK,18,,d'Akkerties,Genemuiden
8281DK,30,,d'Akkerties,Genemuiden
8281DK,28,,d'Akkerties,Genemuiden
8281DK,26,,d'Akkerties,Genemuiden
8281DK,24,,d'Akkerties,Genemuiden
8281DK,22,,d'Akkerties,Genemuiden
8281DK,20,,d'Akkerties,Genemuiden
8281DK,16,,d'Akkerties,Genemuiden
8281DK,12,,d'Akkerties,Genemuiden
8281DK,8,,d'Akkerties,Genemuiden
8281DK,4,,d'Akkerties,Genemuiden
8281DK,7,,d'Akkerties,Genemuiden
8281DK,3,,d'Akkerties,Genemuiden
8061AW,2,,De Bagijnenkamp,Hasselt
8061AW,4,,De Bagijnenkamp,Hasselt
8061AW,6,,De Bagijnenkamp,Hasselt
8061AW,8,,De Bagijnenkamp,Hasselt
8061AW,10,,De Bagijnenkamp,Hasselt
8061AW,1,,De Bagijnenkamp,Hasselt
8061AW,7,,De Bagijnenkamp,Hasselt
8061AW,9,,De Bagijnenkamp,Hasselt
8061AW,5,,De Bagijnenkamp,Hasselt
8061AW,3,,De Bagijnenkamp,Hasselt
8061AW,11,,De Bagijnenkamp,Hasselt
8061AW,15,,De Bagijnenkamp,Hasselt
8061AW,19,,De Bagijnenkamp,Hasselt
8061AW,17,,De Bagijnenkamp,Hasselt
8061AW,13,,De Bagijnenkamp,Hasselt
8281JH,15,,De Blokmat,Genemuiden
8281JH,13,,De Blokmat,Genemuiden
8281JH,11,,De Blokmat,Genemuiden
8281JH,7,,De Blokmat,Genemuiden
8281JH,1,,De Blokmat,Genemuiden
8281JH,17,,De Blokmat,Genemuiden
8281JH,21,,De Blokmat,Genemuiden
8281JH,29,,De Blokmat,Genemuiden
8064GC,1,,De Botter,Zwartsluis
8064GC,2,,De Botter,Zwartsluis
8064GC,8,,De Botter,Zwartsluis
8064GC,6,,De Botter,Zwartsluis
